dataset,mechanism,methodology,model_type,train_pct,avg_f1,f1_std
pubmed,SCAR,nnpu,MLP,0.3,0.5574,0.0348
pubmed,SCAR,nnpu,GATConv,0.3,0.635,0.021
pubmed,SCAR,nnpu,GCNConv,0.3,0.6321,0.0274
pubmed,SCAR,imbnnpu,MLP,0.3,0.7064,0.0021
pubmed,SCAR,imbnnpu,GATConv,0.3,0.7359,0.0023
pubmed,SCAR,imbnnpu,GCNConv,0.3,0.7487,0.0048
pubmed,SCAR,ours,GCNConv,0.3,0.6487,0.0097
pubmed,SAR,naive,MLP,0.3,0.0159,0.0225
pubmed,SAR,naive,GATConv,0.3,0.0398,0.0024
pubmed,SAR,naive,GCNConv,0.3,0,0
pubmed,SAR,NNIF,MLP,0.3,0.6465,0.009
pubmed,SAR,two_nnif,MLP,0.3,0.6748,0.0033
pubmed,SAR,two_nnif,GATConv,0.3,0.6639,0.0174
pubmed,SAR,two_nnif,GCNConv,0.3,0.6966,0.0041
pubmed,SAR,spy,MLP,0.3,0.7552,0.0032
pubmed,SAR,spy,GATConv,0.3,0.7994,0.0022
pubmed,SAR,spy,GCNConv,0.3,0.7998,0.0015
pubmed,SAR,nnpu,MLP,0.3,0.5532,0.0325
pubmed,SAR,nnpu,GATConv,0.3,0.6362,0.0093
pubmed,SAR,nnpu,GCNConv,0.3,0.6329,0.0096
pubmed,SAR,imbnnpu,MLP,0.3,0.6776,0.013
pubmed,SAR,imbnnpu,GATConv,0.3,0.7171,0.0009
pubmed,SAR,imbnnpu,GCNConv,0.3,0.735,0.0028
pubmed,SAR,ours,GCNConv,0.3,0.6346,0.0035
citeseer,SCAR,naive,MLP,0.4,0.0463,0.0064
citeseer,SCAR,naive,GATConv,0.4,0.208,0.0331
citeseer,SCAR,naive,GCNConv,0.4,0.1249,0.0919
citeseer,SCAR,NNIF,MLP,0.4,0.226,0.0183
citeseer,SCAR,two_nnif,MLP,0.4,0.1873,0.0414
citeseer,SCAR,two_nnif,GATConv,0.4,0.3727,0.0168
citeseer,SCAR,two_nnif,GCNConv,0.4,0.3742,0.071
citeseer,SCAR,spy,MLP,0.4,0.5147,0.012
citeseer,SCAR,spy,GATConv,0.4,0.5874,0.0189
citeseer,SCAR,spy,GCNConv,0.4,0.5857,0.0275
citeseer,SCAR,nnpu,MLP,0.4,0.6781,0.0048
citeseer,SCAR,nnpu,GATConv,0.4,0.716,0.0135
citeseer,SCAR,nnpu,GCNConv,0.4,0.7337,0.0153
citeseer,SCAR,imbnnpu,MLP,0.4,0.3993,0.014
citeseer,SCAR,imbnnpu,GATConv,0.4,0.6528,0.0147
citeseer,SCAR,imbnnpu,GCNConv,0.4,0.6883,0.0178
citeseer,SCAR,ours,GATConv,0.4,0.4633,0.0222
citeseer,SAR,naive,MLP,0.4,0.025,0.0116
citeseer,SAR,naive,GATConv,0.4,0.2041,0.0165
citeseer,SAR,naive,GCNConv,0.4,0.0835,0.0591
citeseer,SAR,NNIF,MLP,0.4,0.2032,0.0422
citeseer,SAR,two_nnif,MLP,0.4,0.1636,0.0561
citeseer,SAR,two_nnif,GATConv,0.4,0.3243,0.0273
citeseer,SAR,two_nnif,GCNConv,0.4,0.3632,0.0517
citeseer,SAR,spy,MLP,0.4,0.5113,0.0251
citeseer,SAR,spy,GATConv,0.4,0.5876,0.0211
citeseer,SAR,spy,GCNConv,0.4,0.5905,0.037
citeseer,SAR,nnpu,MLP,0.4,0.6796,0.0223
citeseer,SAR,nnpu,GATConv,0.4,0.7247,0.0169
citeseer,SAR,nnpu,GCNConv,0.4,0.7256,0.0082
citeseer,SAR,imbnnpu,MLP,0.4,0.4005,0.0182
citeseer,SAR,imbnnpu,GATConv,0.4,0.6687,0.02
citeseer,SAR,imbnnpu,GCNConv,0.4,0.6926,0.0154
citeseer,SAR,ours,GATConv,0.4,0.4396,0.0249
cora,SCAR,naive,MLP,0.4,0.0148,0.0068
cora,SCAR,naive,GATConv,0.4,0.2311,0.0117
cora,SCAR,naive,GCNConv,0.4,0.1199,0.1055
cora,SCAR,NNIF,MLP,0.4,0.2348,0.0794
cora,SCAR,two_nnif,MLP,0.4,0.1983,0.0335
cora,SCAR,two_nnif,GATConv,0.4,0.4227,0.0739
cora,SCAR,two_nnif,GCNConv,0.4,0.4064,0.0238
cora,SCAR,spy,MLP,0.4,0.5254,0.0105
cora,SCAR,spy,GATConv,0.4,0.6707,0.0251
cora,SCAR,spy,GCNConv,0.4,0.7103,0.0098
cora,SCAR,nnpu,MLP,0.4,0.6706,0.0144
cora,SCAR,nnpu,GATConv,0.4,0.7804,0.0264
cora,SCAR,nnpu,GCNConv,0.4,0.8316,0.0159
cora,SCAR,imbnnpu,MLP,0.4,0.5197,0.032
cora,SCAR,imbnnpu,GATConv,0.4,0.762,0.0171
cora,SCAR,imbnnpu,GCNConv,0.4,0.8299,0.0192
cora,SCAR,ours,GCNConv,0.4,0.5843,0.0106
cora,SAR,naive,MLP,0.4,0.0513,0.0507
cora,SAR,naive,GATConv,0.4,0.193,0.0448
cora,SAR,naive,GCNConv,0.4,0.1181,0.092
cora,SAR,NNIF,MLP,0.4,0.2236,0.0568
cora,SAR,two_nnif,MLP,0.4,0.1478,0.034
cora,SAR,two_nnif,GATConv,0.4,0.3806,0.0989
cora,SAR,two_nnif,GCNConv,0.4,0.3867,0.0374
cora,SAR,spy,MLP,0.4,0.5201,0.0223
cora,SAR,spy,GATConv,0.4,0.702,0.0124
cora,SAR,spy,GCNConv,0.4,0.7295,0.0147
cora,SAR,nnpu,MLP,0.4,0.6703,0.0114
cora,SAR,nnpu,GATConv,0.4,0.8162,0.0127
cora,SAR,nnpu,GCNConv,0.4,0.8373,0.0108
cora,SAR,imbnnpu,MLP,0.4,0.5306,0.025
cora,SAR,imbnnpu,GATConv,0.4,0.8085,0.0097
cora,SAR,imbnnpu,GCNConv,0.4,0.8439,0.0152
cora,SAR,ours,GCNConv,0.4,0.5678,0.0232
pubmed,SCAR,naive,MLP,0.4,0.1767,0.0146
pubmed,SCAR,naive,GATConv,0.4,0.1534,0.023
pubmed,SCAR,naive,GCNConv,0.4,0,0
pubmed,SCAR,NNIF,MLP,0.4,0.678,0.0034
pubmed,SCAR,two_nnif,MLP,0.4,0.7103,0.0048
pubmed,SCAR,two_nnif,GATConv,0.4,0.7172,0.0191
pubmed,SCAR,two_nnif,GCNConv,0.4,0.7354,0.0024
pubmed,SCAR,spy,MLP,0.4,0.7386,0.0102
pubmed,SCAR,spy,GATConv,0.4,0.7908,0.0031
pubmed,SCAR,spy,GCNConv,0.4,0.7948,0.0049
pubmed,SCAR,nnpu,MLP,0.4,0.5746,0.0366
pubmed,SCAR,nnpu,GATConv,0.4,0.6393,0.021
pubmed,SCAR,nnpu,GCNConv,0.4,0.6406,0.0308
pubmed,SCAR,imbnnpu,MLP,0.4,0.6886,0.0028
pubmed,SCAR,imbnnpu,GATConv,0.4,0.7238,0.0047
pubmed,SCAR,imbnnpu,GCNConv,0.4,0.731,0.0058
pubmed,SCAR,ours,GCNConv,0.4,0.6708,0.0039
pubmed,SAR,naive,MLP,0.4,0.1353,0.0962
pubmed,SAR,naive,GATConv,0.4,0.1368,0.0093
pubmed,SAR,naive,GCNConv,0.4,0,0
pubmed,SAR,NNIF,MLP,0.4,0.6614,0.0121
pubmed,SAR,two_nnif,MLP,0.4,0.7007,0.004
pubmed,SAR,two_nnif,GATConv,0.4,0.6965,0.0077
pubmed,SAR,two_nnif,GCNConv,0.4,0.7285,0.0044
pubmed,SAR,spy,MLP,0.4,0.7437,0.0024
pubmed,SAR,spy,GATConv,0.4,0.7904,0.0022
pubmed,SAR,spy,GCNConv,0.4,0.7945,0.0028
pubmed,SAR,nnpu,MLP,0.4,0.5573,0.0373
pubmed,SAR,nnpu,GATConv,0.4,0.6283,0.0117
pubmed,SAR,nnpu,GCNConv,0.4,0.6231,0.0079
pubmed,SAR,imbnnpu,MLP,0.4,0.661,0.0083
pubmed,SAR,imbnnpu,GATConv,0.4,0.7049,0.0036
pubmed,SAR,imbnnpu,GCNConv,0.4,0.7166,0.0042
pubmed,SAR,ours,GCNConv,0.4,0.6609,0.0101
citeseer,SCAR,naive,MLP,0.5,0.052088064,0.033508832
citeseer,SCAR,naive,GATConv,0.5,0.2596475961233618,0.036779468
citeseer,SCAR,naive,GCNConv,0.5,0.2991472633979818,0.1569396888769655
citeseer,SCAR,NNIF,NNIF+XGBoost,0.5,0.5065394971107269,0.018261968
citeseer,SCAR,two_nnif,MLP,0.5,0.4765677842382333,0.01954722
citeseer,SCAR,two_nnif,GATConv,0.5,0.5516227374447539,0.025572434
citeseer,SCAR,two_nnif,GCNConv,0.5,0.5819146843462901,0.017733738
citeseer,SCAR,spy,MLP,0.5,0.4865309258474135,0.020453979
citeseer,SCAR,spy,GATConv,0.5,0.5609722619844326,0.031205004
citeseer,SCAR,spy,GCNConv,0.5,0.5644097322397141,0.009500003
citeseer,SCAR,nnpu,MLP,0.5,0.6705859358874184,0.01585748
citeseer,SCAR,nnpu,GATConv,0.5,0.7034986454363346,0.015600562
citeseer,SCAR,nnpu,GCNConv,0.5,0.7086573354987695,0.006403234
citeseer,SCAR,imbnnpu,MLP,0.5,0.474064128,0.029966495
citeseer,SCAR,imbnnpu,GATConv,0.5,0.6712753897082427,0.016207971
citeseer,SCAR,imbnnpu,GCNConv,0.5,0.7019724970514792,0.008091271
citeseer,SAR,naive,MLP,0.5,0.081417346,0.022678934
citeseer,SAR,naive,GATConv,0.5,0.2974734682976411,0.046114287
citeseer,SAR,naive,GCNConv,0.5,0.303145564,0.024276653
citeseer,SAR,NNIF,NNIF+XGBoost,0.5,0.4776981475312709,0.038608449
citeseer,SAR,two_nnif,MLP,0.5,0.4864809471367648,0.024610338
citeseer,SAR,two_nnif,GATConv,0.5,0.5616741524255137,0.029687914
citeseer,SAR,two_nnif,GCNConv,0.5,0.5768075845974167,0.023575627
citeseer,SAR,spy,MLP,0.5,0.5094088850287841,0.007567294
citeseer,SAR,spy,GATConv,0.5,0.5601975269197969,0.01260217
citeseer,SAR,spy,GCNConv,0.5,0.570014012,0.015426854
citeseer,SAR,nnpu,MLP,0.5,0.6623509882249571,0.012890514
citeseer,SAR,nnpu,GATConv,0.5,0.6969889839872312,0.013619492
citeseer,SAR,nnpu,GCNConv,0.5,0.6999651710949847,0.003155209
citeseer,SAR,imbnnpu,MLP,0.5,0.4640687443124524,0.033080181
citeseer,SAR,imbnnpu,GATConv,0.5,0.6819069963247983,0.03275292
citeseer,SAR,imbnnpu,GCNConv,0.5,0.6833490893426133,0.013945741
cora,SCAR,naive,MLP,0.5,0.02393244,0.01432866
cora,SCAR,naive,GATConv,0.5,0.3437244851466737,0.031752952
cora,SCAR,naive,GCNConv,0.5,0.37011954,0.037322777
cora,SCAR,NNIF,NNIF+XGBoost,0.5,0.4875930899598731,0.051269502
cora,SCAR,two_nnif,MLP,0.5,0.4220983531692304,0.047143305
cora,SCAR,two_nnif,GATConv,0.5,0.6276328495227398,0.022034748
cora,SCAR,two_nnif,GCNConv,0.5,0.6363174229267541,0.038619645
cora,SCAR,spy,MLP,0.5,0.4917586798451834,0.038366195
cora,SCAR,spy,GATConv,0.5,0.651991853,0.029647629
cora,SCAR,spy,GCNConv,0.5,0.7095687856469703,0.013679058
cora,SCAR,nnpu,MLP,0.5,0.6611902165929351,0.015248392
cora,SCAR,nnpu,GATConv,0.5,0.7580881184493811,0.02356713
cora,SCAR,nnpu,GCNConv,0.5,0.8187670609278463,0.008334932
cora,SCAR,imbnnpu,MLP,0.5,0.5642422236228061,0.028812257
cora,SCAR,imbnnpu,GATConv,0.5,0.7748370703107951,0.010464802
cora,SCAR,imbnnpu,GCNConv,0.5,0.8352692550495515,0.008084933
cora,SAR,naive,MLP,0.5,0.074510985,0.048468861
cora,SAR,naive,GATConv,0.5,0.3280229185338116,0.064866462
cora,SAR,naive,GCNConv,0.5,0.4329731002952486,0.035997077
cora,SAR,NNIF,NNIF+XGBoost,0.5,0.4952194736442538,0.057253625
cora,SAR,two_nnif,MLP,0.5,0.4203077786148124,0.086715069
cora,SAR,two_nnif,GATConv,0.5,0.6280564973842292,0.068260406
cora,SAR,two_nnif,GCNConv,0.5,0.600922404,0.051228501
cora,SAR,spy,MLP,0.5,0.4937337264290657,0.019402014
cora,SAR,spy,GATConv,0.5,0.6807664786878902,0.033773445
cora,SAR,spy,GCNConv,0.5,0.715092485,0.019208853
cora,SAR,nnpu,MLP,0.5,0.6704820169155281,0.006573962
cora,SAR,nnpu,GATConv,0.5,0.7831756502758891,0.013280567
cora,SAR,nnpu,GCNConv,0.5,0.8109334471288007,0.013524998
cora,SAR,imbnnpu,MLP,0.5,0.5852971940378809,0.018185854
cora,SAR,imbnnpu,GATConv,0.5,0.8160579387662892,0.008881224
cora,SAR,imbnnpu,GCNConv,0.5,0.8373519401003208,0.01417574
pubmed,SCAR,naive,MLP,0.5,0.3641575689535481,0.02596967
pubmed,SCAR,naive,GATConv,0.5,0.387093045,0.0182244
pubmed,SCAR,naive,GCNConv,0.5,0.3496450222079635,0.1769459123599857
pubmed,SCAR,NNIF,NNIF+XGBoost,0.5,0.8025988689918042,0.007466922
pubmed,SCAR,two_nnif,MLP,0.5,0.7610649803499001,0.005114056
pubmed,SCAR,two_nnif,GATConv,0.5,0.7885724390254195,0.00682733
pubmed,SCAR,two_nnif,GCNConv,0.5,0.7892501394192339,0.004937888
pubmed,SCAR,spy,MLP,0.5,0.7161928993096573,0.009923957
pubmed,SCAR,spy,GATConv,0.5,0.7789207371143198,0.004964967
pubmed,SCAR,spy,GCNConv,0.5,0.7808364859460074,0.008443808
pubmed,SCAR,nnpu,MLP,0.5,0.5609941451335405,0.036932705
pubmed,SCAR,nnpu,GATConv,0.5,0.6463199442622678,0.0182915
pubmed,SCAR,nnpu,GCNConv,0.5,0.6470185067525851,0.026455154
pubmed,SCAR,imbnnpu,MLP,0.5,0.6659378540686636,0.008208204
pubmed,SCAR,imbnnpu,GATConv,0.5,0.7044671149193472,0.008566718
pubmed,SCAR,imbnnpu,GCNConv,0.5,0.7099181933387496,0.004912222
pubmed,SAR,naive,MLP,0.5,0.3071550185376687,0.051037593
pubmed,SAR,naive,GATConv,0.5,0.3638574573580138,0.035373347
pubmed,SAR,naive,GCNConv,0.5,0.425594369,0.027058825
pubmed,SAR,NNIF,NNIF+XGBoost,0.5,0.7870290213044642,0.007423389
