K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,sampling_k,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,f1_std,reliable_mini_batch
14.0,2.0,256.0,256.0,,0.0077264515312734,removal,0.0,0.2289690813697037,366.6,mean,GATConv,10.0,3.0,100.0,,,,,0.9065375057057363,0.8785291857368053,0.8462222222222222,0.913406269309587,"[12.549563884735107, 12.772295117378235, 12.841540098190308, 12.822685837745667, 12.34893810749054, 12.14375913143158, 11.851571917533875, 11.934612393379211, 11.524485468864441, 11.672711730003357, 10.944702863693237, 10.305756747722626, 10.080497682094574, 9.880017697811127, 9.160465776920319, 8.557283461093903, 8.048694491386414, 7.644215226173401, 6.915518939495087, 6.4972617626190186, 6.250271856784821, 5.612486183643341, 5.410124808549881, 4.902732104063034, 4.627532482147217, 4.310995697975159, 4.06007519364357, 3.797402322292328, 3.617092579603195, 3.368911623954773, 3.173450291156769, 2.9774226546287537, 2.815093085169792, 2.720974549651146, 2.630132630467415, 2.4787509739398956, 2.3343748450279236, 2.225401982665062, 2.139654740691185, 2.035817041993141, 1.942802220582962, 1.8420427590608597, 1.7990999221801758, 1.724276915192604, 1.6603284627199173, 1.6031839102506638, 1.5777031779289246, 1.477381855249405, 1.4360050708055496, 1.3891764804720879]",0.0016375278877706072,1.0
14.0,2.0,256.0,256.0,,0.0078932502312589,removal,0.0,0.2193998751037673,366.6,mean,GATConv,10.0,1.0,100.0,,,,,0.9072881269970076,0.8785157651665265,0.8393142857142857,0.9215592361139915,"[12.558616042137146, 12.780880451202393, 12.85881793498993, 12.841278314590454, 12.349099040031433, 12.139415502548218, 11.832666397094727, 11.907274007797241, 11.483716249465942, 11.617637395858765, 10.874394595623016, 10.215842425823212, 9.972772896289825, 9.749796032905579, 9.011163592338562, 8.40225476026535, 7.8777801394462585, 7.467364847660065, 6.733750343322754, 6.318289756774902, 6.067296236753464, 5.442148357629776, 5.236213952302933, 4.743937134742737, 4.474154055118561, 4.1639470756053925, 3.9215487241744995, 3.6648650765419006, 3.4871309995651245, 3.248589962720871, 3.061315894126892, 2.870471879839897, 2.7139874696731567, 2.6215800791978836, 2.5341053009033203, 2.389598459005356, 2.2507964223623276, 2.144455701112747, 2.0647032856941223, 1.962466076016426, 1.8723507672548294, 1.7754689306020737, 1.7354457378387451, 1.6646953374147415, 1.602188304066658, 1.5466066002845764, 1.5216629654169083, 1.4246046096086502, 1.3845730870962143, 1.3396712094545364]",0.0025549826728219734,1.0
14.0,2.0,256.0,256.0,,0.0077483900065208,removal,0.0,0.22871214427939562,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9064969315818836,0.87848978845579,0.8462730158730158,0.9132567808375294,"[12.539406299591064, 12.759691715240479, 12.835486769676208, 12.81578516960144, 12.34057891368866, 12.12882673740387, 11.838697671890259, 11.921527028083801, 11.506791591644287, 11.658746361732483, 10.925682067871094, 10.281928837299347, 10.05918174982071, 9.85819685459137, 9.131965458393097, 8.529211580753326, 8.01894098520279, 7.615192651748657, 6.884571373462677, 6.4684882164001465, 6.221994340419769, 5.587483465671539, 5.3823181092739105, 4.8780253529548645, 4.605223447084427, 4.286899000406265, 4.037712723016739, 3.7767063677310944, 3.5984961688518524, 3.348047971725464, 3.155103951692581, 2.960141569375992, 2.8002173006534576, 2.704752802848816, 2.614504814147949, 2.4652173817157745, 2.321048676967621, 2.213295578956604, 2.128853499889374, 2.0245274156332016, 1.9319349378347397, 1.8308569341897964, 1.7892611771821976, 1.7143384367227554, 1.6510950028896332, 1.5932939648628235, 1.5691760331392288, 1.4685806781053543, 1.4284935146570206, 1.381561666727066]",0.0006453454077221741,1.0
14.0,2.0,256.0,256.0,,0.0080541731213924,removal,0.0,0.2254180182004783,366.6,mean,GATConv,5.0,3.0,100.0,,,,,0.90684181163463,0.8784766296612515,0.843047619047619,0.9170153695737561,"[26.076712131500244, 27.072958409786224, 26.2514808177948, 25.683477640151978, 23.927121102809906, 22.274813771247864, 19.96754390001297, 18.838958144187927, 16.63375461101532, 14.187378108501434, 12.406825065612793, 10.219742506742477, 9.343561679124832, 8.024208545684814, 7.095588147640228, 6.2574948370456696, 5.611477002501488, 5.241821616888046, 4.6014410853385925, 4.239503592252731, 4.013826698064804, 3.5441288203001022, 3.4516701102256775, 3.05967528373003, 2.8415466099977493, 2.6721068620681763, 2.547399267554283, 2.4219156950712204, 2.3895424008369446, 2.1463985219597816, 1.997069127857685, 1.8818892911076546, 1.781352311372757, 1.7306976914405823, 1.63931505382061, 1.5607445240020752, 1.5294627398252487, 1.4191246330738068, 1.4020131565630436, 1.286787487566471, 1.2387080006301403, 1.154141005128622, 1.1586469374597073, 1.1055288314819336, 1.0609588325023651, 1.0308824852108955, 0.9916015230119228, 0.9547785967588425, 0.9314962476491928, 0.8974342197179794]",0.0020872654965055897,1.0
14.0,2.0,256.0,256.0,,0.0076328921302326,removal,0.0,0.2283031307928099,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9065577927676625,0.8784600489673874,0.8454857142857144,0.9141110275179049,"[12.543730020523071, 12.765377163887024, 12.843325853347778, 12.82958722114563, 12.354148745536804, 12.146955132484436, 11.860896229743958, 11.948307633399963, 11.5361967086792, 11.70626413822174, 10.979761779308319, 10.348836421966553, 10.138627707958221, 9.95722770690918, 9.239277780056, 8.640731394290924, 8.142671287059784, 7.744756400585175, 7.009755969047546, 6.59666121006012, 6.357087135314941, 5.710608422756195, 5.5090422332286835, 4.996477901935577, 4.72114971280098, 4.395401954650879, 4.141092419624329, 3.8728776574134827, 3.6920048892498016, 3.438105046749115, 3.2381593585014343, 3.038558065891266, 2.8736570179462433, 2.7769390046596527, 2.6844091713428497, 2.5316485315561295, 2.383273094892502, 2.272261142730713, 2.185515448451042, 2.0786896497011185, 1.9832904785871506, 1.8795454800128937, 1.8373994529247284, 1.7604930698871613, 1.6957517117261887, 1.6362085342407227, 1.610367700457573, 1.5076523274183273, 1.4658614695072174, 1.418239876627922]",0.0007041660521376466,1.0
14.0,2.0,256.0,256.0,,0.0074426079168757,removal,0.0,0.2178700075026853,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9072678399350813,0.8783953126088706,0.8385523809523809,0.9222133748855164,"[12.540671348571777, 12.77519142627716, 12.85395336151123, 12.83732271194458, 12.363054633140564, 12.16826343536377, 11.877948760986328, 11.98801302909851, 11.592183351516724, 11.777076244354248, 11.06272566318512, 10.449316918849945, 10.266274809837341, 10.111225545406342, 9.407547116279602, 8.828416526317596, 8.341412901878357, 7.959421098232269, 7.215968191623688, 6.806972444057465, 6.576675355434418, 5.917101979255676, 5.715658903121948, 5.191221624612808, 4.9068610072135925, 4.574618935585022, 4.3132655918598175, 4.037083029747009, 3.84604075551033, 3.584471255540848, 3.3780390918254852, 3.168695241212845, 2.999231666326523, 2.897049069404602, 2.801767498254776, 2.642075628042221, 2.485610544681549, 2.37064591050148, 2.2803303599357605, 2.168516755104065, 2.0692215859889984, 1.9613707810640335, 1.9165348261594772, 1.8368965536355972, 1.7691683173179626, 1.707314819097519, 1.6801947355270386, 1.5729138255119324, 1.5287248343229294, 1.478464625775814]",0.0008737095989921757,1.0
14.0,2.0,256.0,256.0,,0.0066425205671419,removal,0.0,0.2263499347919249,366.6,mean,GATConv,10.0,1.0,100.0,,,,,0.9067302327940358,0.878358361242016,0.8431238095238094,0.9166675824963564,"[12.549516677856445, 12.780932903289795, 12.879730343818665, 12.885236024856567, 12.425771117210388, 12.257777690887451, 11.997745633125305, 12.151474475860596, 11.794835329055786, 12.065805554389954, 11.406400084495544, 10.86059308052063, 10.779092669487, 10.746282696723938, 10.103323340415955, 9.595751702785492, 9.176831245422363, 8.872292518615723, 8.130818367004395, 7.75430691242218, 7.575546860694885, 6.869137346744537, 6.696823835372925, 6.1185004115104675, 5.821670353412628, 5.45522004365921, 5.1644561886787415, 4.847233235836029, 4.6371071338653564, 4.329215377569199, 4.084257483482361, 3.8398438096046448, 3.6380787193775177, 3.516620397567749, 3.4053057432174683, 3.2078408002853394, 3.0220393538475037, 2.8850113302469254, 2.7742917239665985, 2.635447844862938, 2.516159325838089, 2.385362282395363, 2.3291983604431152, 2.234351560473442, 2.151227220892906, 2.0750077962875366, 2.0415663719177246, 1.9112690687179565, 1.8571986854076385, 1.796319991350174]",0.00042283362679652566,1.0
14.0,2.0,256.0,256.0,,0.0071749432589757,removal,0.0,0.22456786022786188,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.906831668103667,0.8783559657008793,0.842184126984127,0.9177749988199085,"[12.548030734062195, 12.784838557243347, 12.87075960636139, 12.850156903266907, 12.392701506614685, 12.20387578010559, 11.928169965744019, 12.045124530792236, 11.661505222320557, 11.875607371330261, 11.18579375743866, 10.599538207054138, 10.448663651943207, 10.33886444568634, 9.649729490280151, 9.09661489725113, 8.624210238456726, 8.263787567615509, 7.525722503662109, 7.1241209506988525, 6.903793156147003, 6.228906512260437, 6.0314167737960815, 5.489063709974289, 5.199419260025024, 4.8554492592811584, 4.580839663743973, 4.290211766958237, 4.09263801574707, 3.817064583301544, 3.596726715564728, 3.3770799934864044, 3.196251779794693, 3.0884576737880707, 2.9849365651607513, 2.8141418546438217, 2.6504354029893875, 2.527362957596779, 2.429936945438385, 2.310486987233162, 2.2061998397111893, 2.0902555882930756, 2.0413345843553543, 1.9594641774892807, 1.8852309733629227, 1.8198427855968475, 1.7904266119003296, 1.6756854504346848, 1.627322033047676, 1.5748230069875717]",0.0012621771834525728,1.0
14.0,2.0,256.0,256.0,,0.0074248128613818,removal,0.0,0.2168751296689612,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9073489881827864,0.8783557997504957,0.8375111111111112,0.9233902113955347,"[12.55547297000885, 12.78470528125763, 12.867837071418762, 12.856383323669434, 12.379095554351807, 12.184656143188477, 11.899245262145996, 12.003284096717834, 11.608194231987, 11.801006317138672, 11.087986528873444, 10.473540842533112, 10.289063215255737, 10.14020723104477, 9.43009465932846, 8.85288006067276, 8.366699278354645, 7.983756244182587, 7.244695782661438, 6.830703139305115, 6.599107205867767, 5.940627038478851, 5.739110350608826, 5.212371051311493, 4.926490932703018, 4.5934979021549225, 4.332973897457123, 4.054958015680313, 3.8631189167499542, 3.6014917194843292, 3.392635405063629, 3.184005707502365, 3.012311339378357, 2.911275565624237, 2.8159526139497757, 2.6540047228336334, 2.497007131576538, 2.3806493878364563, 2.290259912610054, 2.179150313138962, 2.0791835635900497, 1.9698556959629059, 1.9250171482563019, 1.8461620807647705, 1.7771956771612167, 1.715662881731987, 1.6881729364395142, 1.580468326807022, 1.5359744429588318, 1.485774427652359]",0.0008978558208495445,1.0
14.0,2.0,256.0,256.0,,0.0073176100444563,removal,0.0,0.2218687695484268,366.6,mean,GATConv,10.0,2.0,100.0,,,,,0.9069635340061876,0.8782875247607305,0.8404571428571428,0.9196860502605766,"[12.550313353538513, 12.774575352668762, 12.871532201766968, 12.859675168991089, 12.38563096523285, 12.188974618911743, 11.91512668132782, 12.023797273635864, 11.635452508926392, 11.83873701095581, 11.137799620628357, 10.528337895870209, 10.362838685512543, 10.22594529390335, 9.528877258300781, 8.96017837524414, 8.482990503311157, 8.113049328327179, 7.365228354930878, 6.960356533527374, 6.728445887565613, 6.063930988311768, 5.862574338912964, 5.3299045860767365, 5.044258683919907, 4.7052207589149475, 4.43785834312439, 4.153947621583939, 3.961259216070175, 3.6898263692855835, 3.4785773754119873, 3.264122724533081, 3.089707911014557, 2.983733683824539, 2.8841589093208313, 2.7200796604156494, 2.5606840401887894, 2.4429154843091965, 2.348503515124321, 2.23370598256588, 2.131006211042404, 2.021145612001419, 1.9733335226774216, 1.89272141456604, 1.8217228651046753, 1.7594381421804428, 1.7302273511886597, 1.6195017099380493, 1.5747955590486526, 1.5232720226049423]",0.001116471658174107,1.0
