K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
20.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2446263732523911,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.5448416471481323, 3.47512423992157, 3.3979333639144897, 3.595355749130249, 3.259534239768982, 3.348313093185425, 3.463047742843628, 3.3283560276031494, 3.470292329788208, 3.4534021615982056, 3.564242959022522, 3.459919571876526, 3.358167052268982, 3.347447633743286, 3.5264129638671875, 3.426408529281616, 3.1710132360458374, 3.2983773946762085, 3.3098679780960083, 3.301517963409424, 3.2954394817352295, 3.254417657852173, 3.3590095043182373, 3.3798974752426147, 3.2831618785858154, 3.2714316844940186, 3.3587095737457275, 3.21430504322052, 3.3695632219314575, 3.3276119232177734, 3.3270058631896973, 3.1451982259750366, 3.2240822315216064, 3.1335272789001465, 3.315476417541504, 3.274693012237549, 3.17937171459198, 3.169085144996643, 3.13358998298645, 3.2828866243362427, 3.2179373502731323, 3.047781825065613, 3.060404658317566, 3.169451117515564, 3.2562386989593506, 3.1478692293167114, 3.07985520362854, 3.2464804649353027, 3.1850866079330444, 3.0795482397079468]",0.9327968682035668,0.8068662427936912,0.7897310513447433,0.8248776349278861,0.022534436513987042
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.23793979008195656,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.1801905632019043, 3.045161008834839, 3.3081084489822388, 3.2950371503829956, 3.0369690656661987, 3.1311005353927612, 3.33230721950531, 3.2378674745559692, 3.1029469966888428, 3.2109827995300293, 3.1154375076293945, 3.137465000152588, 3.1976146697998047, 3.2346447706222534, 3.066500186920166, 3.3087594509124756, 3.0916274785995483, 3.073382258415222, 3.0329396724700928, 3.144373655319214, 3.110208034515381, 3.1469310522079468, 3.050185799598694, 3.0135982036590576, 2.8961199522018433, 2.993140935897827, 3.057427167892456, 2.983832597732544, 3.100457549095154, 3.051150679588318, 3.0866384506225586, 3.0403058528900146, 3.0406081676483154, 2.980966329574585, 2.9414397478103638, 3.06669545173645, 3.032514214515686, 3.067168712615967, 2.9506205320358276, 2.967129707336426, 2.938888430595398, 2.9583626985549927, 2.8712979555130005, 2.9104490280151367, 2.8794052600860596, 2.8916163444519043, 2.8628422021865845, 2.8919609785079956, 2.956393837928772, 2.888637661933899]",0.9321444106133101,0.8066656062683868,0.7946210268948656,0.81954485062003,0.01733960473932028
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2273610358183562,366.6,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.31465482711792, 3.164974570274353, 3.4428504705429077, 3.431355595588684, 3.1551835536956787, 3.2610467672348022, 3.4637014865875244, 3.3743438720703125, 3.227900981903076, 3.3435869216918945, 3.23051381111145, 3.2604018449783325, 3.3284363746643066, 3.3701924085617065, 3.1827690601348877, 3.4480427503585815, 3.2114988565444946, 3.199400544166565, 3.149323582649231, 3.277561068534851, 3.2383830547332764, 3.2775710821151733, 3.166880488395691, 3.1382558345794678, 3.006303906440735, 3.1149150133132935, 3.1825077533721924, 3.1004151105880737, 3.229247212409973, 3.1782913208007812, 3.2201170921325684, 3.171773672103882, 3.159712553024292, 3.1027653217315674, 3.067282199859619, 3.19756281375885, 3.1567962169647217, 3.1950366497039795, 3.0738112926483154, 3.0901190042495728, 3.058815121650696, 3.080244779586792, 2.984192371368408, 3.0209193229675293, 3.004704713821411, 3.0142358541488647, 2.986401319503784, 3.013578176498413, 3.078936219215393, 3.0148473978042603]",0.9335363201391911,0.8062073776159732,0.7770171149144254,0.8388774166458441,0.0074291938366414295
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2497675119934911,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.10913348197937, 2.9776111841201782, 3.2318949699401855, 3.2202221155166626, 2.969197154045105, 3.0622254610061646, 3.2531418800354004, 3.1648844480514526, 3.035030484199524, 3.1383657455444336, 3.0435397624969482, 3.0687538385391235, 3.1295459270477295, 3.1625078916549683, 2.996354818344116, 3.235000252723694, 3.022036910057068, 3.0061084032058716, 2.9691163301467896, 3.07119882106781, 3.042935609817505, 3.0735241174697876, 2.975497007369995, 2.9486645460128784, 2.833614945411682, 2.926121234893799, 2.986322283744812, 2.9200810194015503, 3.031800627708435, 2.982390880584717, 3.0175883769989014, 2.970809578895569, 2.9721012115478516, 2.9166208505630493, 2.8748018741607666, 2.9970059394836426, 2.9624624252319336, 2.9962700605392456, 2.8826208114624023, 2.900089979171753, 2.872741222381592, 2.8918941020965576, 2.8056485652923584, 2.8463207483291626, 2.817608594894409, 2.8254377841949463, 2.8002569675445557, 2.8305543661117554, 2.891910433769226, 2.8220454454421997]",0.9306945048571843,0.8061107902365606,0.8092909535452323,0.8038191195266128,0.018968351456184324
18.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2476098558709614,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.210633397102356, 3.08208167552948, 3.346484065055847, 3.3414218425750732, 3.058555483818054, 3.171560764312744, 3.3673731088638306, 3.285180449485779, 3.138555884361267, 3.249796152114868, 3.1377676725387573, 3.1689341068267822, 3.238905906677246, 3.277788996696472, 3.0871384143829346, 3.357693672180176, 3.115169882774353, 3.112834095954895, 3.055168867111206, 3.1891103982925415, 3.14889395236969, 3.189304828643799, 3.0733048915863037, 3.043583631515503, 2.9155430793762207, 3.0270761251449585, 3.089993476867676, 3.019610285758972, 3.145357131958008, 3.0872691869735718, 3.1347568035125732, 3.083483099937439, 3.070653557777405, 3.0203365087509155, 2.983256697654724, 3.1113548278808594, 3.071062445640564, 3.1056268215179443, 2.986029267311096, 3.007134795188904, 2.9717317819595337, 3.0024116039276123, 2.8987350463867188, 2.928884744644165, 2.9193551540374756, 2.9312397241592407, 2.9077563285827637, 2.933591365814209, 2.998244524002075, 2.936882734298706]",0.9308394954327968,0.8060897205492582,0.8060309698451507,0.8070593843944901,0.026509540246475286
15.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2271218945321184,384.0,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.3885387182235718, 3.3380961418151855, 3.259449005126953, 3.417250871658325, 3.1747891902923584, 3.240209221839905, 3.330275774002075, 3.20450496673584, 3.3447587490081787, 3.32929003238678, 3.4022845029830933, 3.3211201429367065, 3.225310802459717, 3.2140108346939087, 3.3659335374832153, 3.3114442825317383, 3.0646603107452393, 3.1610549688339233, 3.1654796600341797, 3.1815656423568726, 3.1505730152130127, 3.1519826650619507, 3.221035122871399, 3.2508089542388916, 3.165656566619873, 3.1588395833969116, 3.2107402086257935, 3.097357153892517, 3.2154620885849, 3.2004235982894897, 3.1741294860839844, 3.0275238752365112, 3.0742239952087402, 3.000935435295105, 3.1698943376541138, 3.1045708656311035, 3.0577220916748047, 3.017511010169983, 2.9894100427627563, 3.1306350231170654, 3.0709885358810425, 2.930677056312561, 2.9200910329818726, 3.042025566101074, 3.0889216661453247, 2.999285101890564, 2.9421210289001465, 3.0981651544570923, 3.037174344062805, 2.956026554107666]",0.9347542409743366,0.8060697115384615,0.7628361858190709,0.8546201262867054,0.02405182921584047
19.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2561171058615712,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.204187750816345, 3.0780197381973267, 3.3400567770004272, 3.3398380279541016, 3.0453646183013916, 3.1661895513534546, 3.3594285249710083, 3.2801151275634766, 3.134951114654541, 3.240032196044922, 3.1271013021469116, 3.159715175628662, 3.2357863187789917, 3.2701278924942017, 3.0734481811523438, 3.3556160926818848, 3.102714776992798, 3.1075788736343384, 3.0383596420288086, 3.1833797693252563, 3.145946502685547, 3.187198519706726, 3.062251567840576, 3.03712260723114, 2.905745506286621, 3.0175065994262695, 3.085495710372925, 3.0039607286453247, 3.1362122297286987, 3.082869529724121, 3.1323524713516235, 3.0823700428009033, 3.058796763420105, 3.0126519203186035, 2.97802734375, 3.105186939239502, 3.0677939653396606, 3.097456216812134, 2.9817193746566772, 3.00301992893219, 2.9652512073516846, 2.9970691204071045, 2.88970947265625, 2.9084980487823486, 2.915193200111389, 2.9297419786453247, 2.905647039413452, 2.9285364151000977, 2.9919461011886597, 2.932828426361084]",0.931129476584022,0.8059714938488453,0.8027709861450694,0.8098733928168375,0.02698038006026859
17.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2397858178185002,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.21507728099823, 3.0810950994491577, 3.3496514558792114, 3.33984637260437, 3.068387031555176, 3.1724612712860107, 3.369779944419861, 3.280693531036377, 3.1411010026931763, 3.2535167932510376, 3.1454468965530396, 3.1753218173980713, 3.2384742498397827, 3.2775027751922607, 3.0978204011917114, 3.357895612716675, 3.1250020265579224, 3.1156959533691406, 3.067423105239868, 3.187041163444519, 3.151683807373047, 3.188585638999939, 3.0828369855880737, 3.0455684661865234, 2.924153447151184, 3.0305882692337036, 3.094409227371216, 3.026219367980957, 3.144295334815979, 3.0904340744018555, 3.132412314414978, 3.0828686952590942, 3.074047803878784, 3.0249133110046387, 2.9841361045837402, 3.1095244884490967, 3.0724263191223145, 3.1089110374450684, 2.9874335527420044, 3.0076626539230347, 2.9744280576705933, 2.9975463151931763, 2.9051220417022705, 2.9428075551986694, 2.9206854104995728, 2.931126594543457, 2.90770161151886, 2.9317071437835693, 2.9978963136672974, 2.933286666870117]",0.931854429462085,0.8059096151151638,0.7938060309698453,0.8203669372731494,0.020941803931301718
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.23202725596984078,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.224490165710449, 3.087013006210327, 3.348854899406433, 3.336798071861267, 3.077863097190857, 3.174584746360779, 3.371723175048828, 3.282244086265564, 3.141719937324524, 3.2543230056762695, 3.153053879737854, 3.17938232421875, 3.2409214973449707, 3.2769609689712524, 3.107572078704834, 3.353523850440979, 3.1328039169311523, 3.114134669303894, 3.0726242065429688, 3.1847652196884155, 3.153163194656372, 3.1871200799942017, 3.086382508277893, 3.0537846088409424, 2.9341514110565186, 3.0346264839172363, 3.0974678993225098, 3.0237001180648804, 3.1428312063217163, 3.090268611907959, 3.1282191276550293, 3.079496741294861, 3.0836719274520874, 3.022084355354309, 2.9819748401641846, 3.1056244373321533, 3.071860432624817, 3.108361840248108, 2.9882794618606567, 3.0068604946136475, 2.9759191274642944, 2.995582103729248, 2.9084705114364624, 2.948937177658081, 2.9193615913391113, 2.9263734817504883, 2.902628779411316, 2.9301650524139404, 2.9988597631454468, 2.9282559156417847]",0.9325793823401479,0.805848072668605,0.784841075794621,0.8290582160268185,0.019568882912833103
16.0,2.0,256.0,256.0,,0.005,removal,0.0,0.23204464391249427,264.3333333333333,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[3.224369764328003, 3.0868951082229614, 3.3487261533737183, 3.3366695642471313, 3.0777448415756226, 3.174461841583252, 3.3715933561325073, 3.282117247581482, 3.1415992975234985, 3.254196286201477, 3.1529327630996704, 3.179260730743408, 3.2407978773117065, 3.2768349647521973, 3.1074520349502563, 3.353394031524658, 3.1326823234558105, 3.114014744758606, 3.0725057125091553, 3.1846426725387573, 3.153041362762451, 3.1869970560073853, 3.0862627029418945, 3.0536670684814453, 2.9340392351150513, 3.0345094203948975, 3.0973488092422485, 3.0235841274261475, 3.1427100896835327, 3.090148448944092, 3.1280988454818726, 3.079377770423889, 3.0835520029067993, 3.021967649459839, 2.98185932636261, 3.105505108833313, 3.0717419385910034, 3.1082407236099243, 2.988163948059082, 3.0067447423934937, 2.975804090499878, 2.9954668283462524, 2.9083579778671265, 2.948823094367981, 2.919249415397644, 2.926260471343994, 2.9025169610977173, 2.9300529956817627, 2.9987435340881348, 2.9281420707702637]",0.9324343917645352,0.8057935336543188,0.7864710676446617,0.8266278604333929,0.024156889092817074
