K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std
7.0,2.0,128.0,256.0,,0.0039181069743195,removal,0.0,0.2611522759631801,366.6,sum,GATConv,10.0,4.0,1.0,500.0,0.8980473702895978,0.8690852577121401,0.8472888888888889,0.8920365828687823,"[53.742295026779175, 51.02066546678543, 47.191817820072174, 43.12927204370499, 37.97600761055946, 33.38114270567894, 28.843346297740936, 25.103969007730484, 21.607800513505936, 19.294238030910492, 16.693546041846275, 14.416102111339569, 13.072035402059555, 11.633472621440887, 10.512453496456146, 9.393363922834396, 8.523800306022167, 7.7973193153738976, 7.20127546787262, 6.520456291735172, 6.002320840954781, 5.609935574233532, 5.234311908483505, 4.810546696186066, 4.538233671337366, 4.1841282695531845, 3.9423854872584343, 3.751119215041399, 3.4801950827240944, 3.2347362898290157, 3.0772541500627995, 2.9161433316767216, 2.7388080917298794, 2.6172870621085167, 2.4887803737074137, 2.360449902713299, 2.239200923591852, 2.1301468424499035, 2.0709892455488443, 1.951051501557231, 1.8461017068475485, 1.7841801475733519, 1.6834818087518215, 1.6048341486603022, 1.5744286626577377, 1.4939101915806532, 1.4141872450709343, 1.3626184072345495, 1.3135359082370996, 1.2618858981877565]",0.001310147941565471
8.0,2.0,128.0,256.0,,0.0042029458116773,removal,0.0,0.2659869987325282,366.6,sum,GATConv,10.0,5.0,1.0,500.0,0.8974894760866258,0.8690199300175738,0.8514539682539682,0.8873295455060033,"[55.8428373336792, 53.23441857099533, 49.22811955213547, 44.78046756982803, 38.995467364788055, 33.85738828778267, 28.787635028362274, 24.726792126893997, 20.99306818842888, 18.538561582565308, 15.896841317415237, 13.629759013652802, 12.279764339327812, 10.867959260940552, 9.786292508244514, 8.70758981257677, 7.880407512187958, 7.181714378297329, 6.6339719370007515, 5.980974242091179, 5.5095265209674835, 5.138513050973415, 4.7816997691988945, 4.401778645813465, 4.1397625505924225, 3.8144336231052876, 3.5962970852851868, 3.4194954819977283, 3.1622462309896946, 2.940388809889555, 2.7976487763226032, 2.6485100649297237, 2.486466944217682, 2.374028094112873, 2.2560488395392895, 2.138233929872513, 2.0303133502602577, 1.9288991633802652, 1.8770334459841251, 1.765840893611312, 1.6695807799696922, 1.6137695480138063, 1.5249701086431742, 1.4537747260183096, 1.4227295890450478, 1.3514550141990185, 1.2774391286075115, 1.2312134308740497, 1.189377154223621, 1.1393501497805119]",0.001843873470245049
8.0,2.0,128.0,256.0,,0.0038692191268037994,removal,0.0,0.2605484401093877,366.6,sum,GATConv,10.0,6.0,1.0,500.0,0.8978749302632247,0.868891694217608,0.8472888888888889,0.8916273757469012,"[56.01350677013397, 53.675951063632965, 50.15602916479111, 46.231331527233124, 40.97607123851776, 36.19534966349602, 31.279648572206497, 27.1980741918087, 23.340320765972137, 20.78332281112671, 17.90841795504093, 15.434467822313309, 13.945178464055061, 12.376832887530327, 11.160137593746185, 9.949809834361076, 9.016119629144669, 8.230283446609974, 7.598590567708015, 6.859154738485813, 6.318185575306416, 5.897062823176384, 5.492729440331459, 5.049551568925381, 4.7531311474740505, 4.385126940906048, 4.129840515553951, 3.931087601929903, 3.638445310294628, 3.3819171749055386, 3.21678489074111, 3.0457541681826115, 2.8609729632735252, 2.734514519572258, 2.595638193190098, 2.4650138951838017, 2.3371004834771156, 2.220931224524975, 2.162661923095584, 2.033985009416938, 1.9238948915153742, 1.8594482634216547, 1.7563917133957148, 1.6743585709482431, 1.640504777431488, 1.5575299859046936, 1.474167076870799, 1.4186705462634563, 1.3695278745144606, 1.3144590631127357]",0.002316500030625243
8.0,2.0,128.0,256.0,,0.0035732274140469,removal,0.0,0.2693976254126733,366.6,sum,GATConv,10.0,9.0,1.0,500.0,0.8974996196175888,0.8688601625621957,0.8501587301587301,0.8884032958737829,"[55.95233356952667, 53.9268884062767, 50.750887393951416, 47.33720278739929, 42.510732531547546, 38.09406906366348, 33.42710641026497, 29.42842498421669, 25.540348887443542, 22.95928654074669, 19.941673040390015, 17.245343044400215, 15.63862930238247, 13.927587360143661, 12.60009078681469, 11.245963171124458, 10.210829600691795, 9.338643997907639, 8.613281264901161, 7.790533408522606, 7.182972326874733, 6.711241543292999, 6.251315638422966, 5.7580943033099174, 5.416920892894268, 5.004404921084642, 4.708239141851664, 4.48494927957654, 4.152867861092091, 3.8599472008645535, 3.6739871948957443, 3.4801535941660404, 3.264778036624193, 3.1206134520471096, 2.9737930558621883, 2.8133633844554424, 2.671311840415001, 2.5411050505936146, 2.471678288653493, 2.328191466629505, 2.198793090879917, 2.131204664707184, 2.0112778935581446, 1.9146692268550396, 1.8772304020822048, 1.7835860401391983, 1.6859559062868357, 1.6276206113398075, 1.568874279037118, 1.5036623794585466]",0.0016274152057360587
8.0,2.0,128.0,256.0,,0.0043138329590959,removal,0.0,0.2570755235734876,366.6,sum,GATConv,10.0,4.0,1.0,500.0,0.8979560785109296,0.8688577408316016,0.846374603174603,0.8925706084822697,"[55.82499027252197, 53.053613007068634, 48.863443434238434, 44.308001101017, 38.392147958278656, 33.08924677968025, 28.03935843706131, 23.953946948051453, 20.285913169384003, 17.878166541457176, 15.318559125065804, 13.114996835589409, 11.783139050006866, 10.4379912763834, 9.399281218647957, 8.358082443475723, 7.541850380599499, 6.90527606010437, 6.348107926547527, 5.733006611466408, 5.281776241958141, 4.920743919909, 4.588848136365414, 4.2121433690190315, 3.9633621275424957, 3.6521682143211365, 3.4375815503299236, 3.2676478251814842, 3.031176406890154, 2.8178409337997437, 2.675844643265009, 2.535185281187296, 2.3797141294926405, 2.2724146284163, 2.160479359328747, 2.047418847680092, 1.9420847222208977, 1.846668852493167, 1.793146999552846, 1.6922741811722517, 1.5985512472689152, 1.5442026127129793, 1.4578755181282759, 1.3888999093323946, 1.3597069401293993, 1.2934640049934387, 1.2230948396027088, 1.1785665154457092, 1.1360092023387551, 1.0900140181183815]",0.002328467159994475
8.0,2.0,128.0,256.0,,0.0040541169797296,removal,0.0,0.2510515545904414,366.6,sum,GATConv,10.0,8.0,1.0,500.0,0.8983719632804178,0.8688407385683687,0.8427936507936508,0.8965538585774331,"[55.972475707530975, 53.48324912786484, 49.64418989419937, 45.44335049390793, 39.90979850292206, 34.89250868558884, 29.898077875375748, 25.819517254829407, 22.005400270223618, 19.519750475883484, 16.78425072133541, 14.411153137683868, 12.998832374811172, 11.514082938432693, 10.383421286940575, 9.242619939148426, 8.366019621491432, 7.632425673305988, 7.039893247187138, 6.353398367762566, 5.853582821786404, 5.459377519786358, 5.087044939398766, 4.67559389770031, 4.4023327343165874, 4.055400595068932, 3.822111539542675, 3.6352219097316265, 3.3675438202917576, 3.128388650715351, 2.9764109030365944, 2.819179028272629, 2.6452264562249184, 2.5277917683124542, 2.402132872492075, 2.275943037122488, 2.1617437228560448, 2.0515286903828382, 1.997590821236372, 1.8808364197611809, 1.7785335835069418, 1.7191727627068758, 1.6230849381536245, 1.5470073577016592, 1.5144797042012215, 1.4383059050887823, 1.3607391379773617, 1.3107192069292068, 1.265146143734455, 1.213332749903202]",0.0024498672834914062
8.0,2.0,128.0,256.0,,0.0037378224236431002,removal,0.0,0.2532555346508472,366.6,sum,GATConv,10.0,4.0,1.0,500.0,0.8982096667850079,0.8688014429648797,0.8438603174603175,0.8952664147655274,"[56.05765908956528, 53.87146019935608, 50.43214404582977, 46.762898087501526, 41.7078418135643, 37.03893184661865, 32.24000632762909, 28.230708479881287, 24.32115265727043, 21.745925426483154, 18.811258241534233, 16.223827227950096, 14.687262639403343, 13.065556898713112, 11.801884174346924, 10.525085613131523, 9.532481752336025, 8.70683567225933, 8.045679025352001, 7.26750586181879, 6.692509800195694, 6.248009406030178, 5.826335683465004, 5.352336436510086, 5.044665325433016, 4.6474782675504684, 4.3800222389400005, 4.1661419831216335, 3.8634136840701103, 3.590264156460762, 3.4158373028039932, 3.236394129693508, 3.0381818898022175, 2.9023455008864403, 2.7561031728982925, 2.6171455457806587, 2.4831030517816544, 2.3584890626370907, 2.295438500121236, 2.1610187962651253, 2.04496100731194, 1.97633021697402, 1.8666506204754114, 1.7784559540450573, 1.7427335549145937, 1.6553566120564938, 1.5671405959874392, 1.5078299399465322, 1.4571895897388458, 1.3961978051811457]",0.0025033224816738324
7.0,2.0,128.0,256.0,,0.0043217580297312,removal,0.0,0.2742723039950461,366.6,sum,GATConv,10.0,6.0,1.0,500.0,0.8967591418572806,0.8687970088485276,0.8558222222222222,0.8821728603074842,"[53.49852842092514, 50.38517928123474, 46.04393094778061, 41.362247467041016, 35.70573565363884, 30.829824149608612, 26.125276774168015, 22.44856107234955, 19.101328760385513, 16.901918962597847, 14.538728550076485, 12.49383781850338, 11.269556164741516, 10.000777468085289, 9.02233101427555, 8.046989679336548, 7.287432178854942, 6.665773242712021, 6.145839139819145, 5.557697616517544, 5.119235947728157, 4.778258439153433, 4.450270466506481, 4.095895525068045, 3.861930977553129, 3.5535620860755444, 3.3492676988244057, 3.1861444786190987, 2.954585410654545, 2.7454656325280666, 2.6095770224928856, 2.472663290798664, 2.319979179650545, 2.2170009184628725, 2.1121016293764114, 1.9973085224628448, 1.8971940334886312, 1.8064724542200565, 1.7544709909707308, 1.6524146739393473, 1.5636911652982235, 1.5113188847899437, 1.4263309203088284, 1.3578744791448116, 1.3303174618631601, 1.2656330466270447, 1.1946699358522892, 1.1535017807036638, 1.1115138083696365, 1.0660723317414522]",0.0012087527843475986
8.0,2.0,128.0,256.0,,0.004429202803588,removal,0.0,0.2575902529930138,366.6,sum,GATConv,10.0,7.0,1.0,500.0,0.8976416290510727,0.8687370611995398,0.8480761904761904,0.8904335952532243,"[55.86073279380798, 52.964593052864075, 48.65293103456497, 43.854181587696075, 37.783451080322266, 32.380587100982666, 27.289103746414185, 23.25291010737419, 19.61358368396759, 17.249531269073486, 14.752479910850525, 12.614019230008125, 11.340017303824425, 10.034351840615273, 9.024569615721703, 8.023681372404099, 7.2463413923978806, 6.6190552189946175, 6.093463897705078, 5.498917065560818, 5.0620704516768456, 4.714827340096235, 4.397142041474581, 4.034231256693602, 3.8032670840620995, 3.4984370693564415, 3.295596107840538, 3.1329754069447517, 2.905520085245371, 2.6987006161361933, 2.562491461634636, 2.42720041051507, 2.2798969354480505, 2.1761526465415955, 2.0682867914438248, 1.9625509940087795, 1.8628858402371407, 1.768069801852107, 1.717902459204197, 1.61842742562294, 1.5325908493250608, 1.4784705955535173, 1.3950201272964478, 1.3297511395066977, 1.3015574049204588, 1.2376768290996552, 1.171129597350955, 1.128157145343721, 1.0874643996357918, 1.0425365772098303]",0.001874231977986627
8.0,2.0,128.0,256.0,,0.0042868465807453,removal,0.0,0.2602536307897563,366.6,sum,GATConv,10.0,6.0,1.0,500.0,0.8975604808033678,0.868728064540778,0.8486857142857144,0.8897419881193004,"[55.791452169418335, 53.09778493642807, 48.8863211274147, 44.35663843154907, 38.49066412448883, 33.25633531808853, 28.194141745567322, 24.119390904903412, 20.433000296354294, 18.017047688364983, 15.45264619588852, 13.219348803162575, 11.902323514223099, 10.531276911497116, 9.48197665810585, 8.428509093821049, 7.620843812823296, 6.955617465078831, 6.420606642961502, 5.785922288894653, 5.329818479716778, 4.969701565802097, 4.634308308362961, 4.252960182726383, 3.9987658709287643, 3.6917104721069336, 3.4755122140049934, 3.3079738058149815, 3.059299487620592, 2.8459281604737043, 2.701938696205616, 2.559617504477501, 2.403308842331171, 2.2947149984538555, 2.181733228266239, 2.069641176611185, 1.9623506106436253, 1.8648017439991236, 1.8128308430314064, 1.7070447895675898, 1.6138233747333288, 1.5605799611657858, 1.4730933643877506, 1.4049225077033043, 1.3764146603643894, 1.3048951383680105, 1.2360326778143644, 1.1900789178907871, 1.1487561678513885, 1.101052894257009]",0.0030141178300431884
