dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1,K,layers,hidden,out_channels,batch_size,ratio
cora,SAR,two_nnif,GCNConv,0.5,0.6277046488515293,0.046045905742257934,1,2,16,2,2048,0.23843599999999998
cora,SAR,two_nnif,MLP,0.4,0.356763418264341,0.045483356721831555,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,GATConv,0.4,0.5279186908302358,0.09095250329572246,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,GCNConv,0.4,0.5271166834554334,0.055446180392126884,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,MLP,0.3,0.10473674965738837,0.0749575029435541,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,GATConv,0.3,0.2884407150891097,0.2177942780712012,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,GCNConv,0.3,0.19348020855213055,0.195139901004707,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,MLP,0.2,0.024377238653480904,0.025569891035411067,1,2,16,2,2048,0.31188663889325574
cora,SAR,two_nnif,GATConv,0.2,0.08966747612368059,0.09227137573857767,1,2,16,2,2048,0.31188663889325574
cora,SAR,two_nnif,GCNConv,0.2,0.035648379122265136,0.04124416960929278,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,MLP,0.5,0.4952094296873457,0.018257277741145096,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,GATConv,0.5,0.6801243371407878,0.034256507286633896,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,GCNConv,0.5,0.7149216693792525,0.01913784707107675,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,MLP,0.4,0.5174479992814534,0.01849705746908324,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,GATConv,0.4,0.6944476630223837,0.012706772863300866,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,GCNConv,0.4,0.7288116942679095,0.012227886530128101,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,MLP,0.3,0.4957920257457162,0.015876085984367152,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,GATConv,0.3,0.6415168429493208,0.024075029937692654,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,GCNConv,0.3,0.6715983806001369,0.014078164689500244,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,MLP,0.2,0.4374512346441355,0.006158570393928667,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,GATConv,0.2,0.5764782316528223,0.032723217231787276,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,GCNConv,0.2,0.5956041746811536,0.024768766690917585,1,2,16,2,2048,0.31188663889325574
