dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
pubmed,SAR,two_nnif,GCNConv,1.75,0.0,0.0
pubmed,SAR,nnpu,MLP,1.75,0.49521165752411817,0.027001218882895188
pubmed,SAR,nnpu,GATConv,1.75,0.53475963132446,0.05027573036132786
pubmed,SAR,nnpu,GCNConv,1.75,0.4766614707455184,0.05641176313921863
pubmed,SAR,imbnnpu,MLP,1.75,0.6332047648390805,0.007996220628887819
pubmed,SAR,imbnnpu,GATConv,1.75,0.6828604669124103,0.00429718533329621
pubmed,SAR,imbnnpu,GCNConv,1.75,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,1.75,0.0,0.0
pubmed,SAR,NNIF,MLP,2.0,0.0,0.0
pubmed,SAR,two_nnif,MLP,2.0,0.0,0.0
pubmed,SAR,two_nnif,GATConv,2.0,0.0,0.0
pubmed,SAR,two_nnif,GCNConv,2.0,0.0,0.0
pubmed,SAR,nnpu,MLP,2.0,0.4327871093303493,0.014850264811446218
pubmed,SAR,nnpu,GATConv,2.0,0.42304474972443956,0.024600301371350837
pubmed,SAR,nnpu,GCNConv,2.0,0.4063908824565856,0.00944010299993232
pubmed,SAR,imbnnpu,MLP,2.0,0.6331437174877677,0.007658711689459466
pubmed,SAR,imbnnpu,GATConv,2.0,0.6828604669124103,0.00429718533329621
pubmed,SAR,imbnnpu,GCNConv,2.0,0.696946631977048,0.0038805637140905294
pubmed,SAR,ours,GCNConv,2.0,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,0.75,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,0.75,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,0.75,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,0.75,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,0.75,0.7763241333352667,0.0030579867477068794
wiki-cs,SCAR,nnpu,GATConv,0.75,0.7202297657164268,0.1214770732435227
wiki-cs,SCAR,nnpu,GCNConv,0.75,0.8283088916333233,0.0017639251196929259
wiki-cs,SCAR,imbnnpu,MLP,0.75,0.7527623424197767,0.00261531590209967
wiki-cs,SCAR,imbnnpu,GATConv,0.75,0.7323211279421322,0.0262861319138326
wiki-cs,SCAR,imbnnpu,GCNConv,0.75,0.8026777434433887,0.0029929669660854054
wiki-cs,SCAR,ours,GCNConv,0.75,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,1.0,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,1.0,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,1.0,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,1.0,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,1.0,0.7165028420914686,0.004102074299246335
wiki-cs,SCAR,nnpu,GATConv,1.0,0.6958522736250821,0.03921759744722555
wiki-cs,SCAR,nnpu,GCNConv,1.0,0.7645662682334002,0.004138649958188354
wiki-cs,SCAR,imbnnpu,MLP,1.0,0.7530976065234909,0.002868841047847564
wiki-cs,SCAR,imbnnpu,GATConv,1.0,0.7344937194441946,0.020806459423781485
wiki-cs,SCAR,imbnnpu,GCNConv,1.0,0.8026777434433887,0.0029929669660854054
wiki-cs,SCAR,ours,GCNConv,1.0,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,1.25,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,1.25,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,1.25,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,1.25,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,1.25,0.6502133728167574,0.01306612955979523
wiki-cs,SCAR,nnpu,GATConv,1.25,0.6051010038880098,0.051082721102908304
wiki-cs,SCAR,nnpu,GCNConv,1.25,0.6558480354376651,0.004547848748572707
wiki-cs,SCAR,imbnnpu,MLP,1.25,0.7531740085228372,0.0030162301313023054
wiki-cs,SCAR,imbnnpu,GATConv,1.25,0.7366062296640984,0.019568328715357963
wiki-cs,SCAR,imbnnpu,GCNConv,1.25,0.8028520591899756,0.002910035281655284
wiki-cs,SCAR,ours,GCNConv,1.25,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,1.5,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,1.5,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,1.5,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,1.5,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,1.5,0.565169152553004,0.009877174595867755
wiki-cs,SCAR,nnpu,GATConv,1.5,0.5632576854936931,0.024556570991986264
wiki-cs,SCAR,nnpu,GCNConv,1.5,0.5800923536322609,0.0005902626403659423
wiki-cs,SCAR,imbnnpu,MLP,1.5,0.752965153050824,0.0029900437493357353
wiki-cs,SCAR,imbnnpu,GATConv,1.5,0.7320027407617151,0.025169137875806182
wiki-cs,SCAR,imbnnpu,GCNConv,1.5,0.8026777434433887,0.0029929669660854054
wiki-cs,SCAR,ours,GCNConv,1.5,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,1.75,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,1.75,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,1.75,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,1.75,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,1.75,0.49545552187086694,0.009196235460329374
wiki-cs,SCAR,nnpu,GATConv,1.75,0.5007399648047904,0.011926275263014777
wiki-cs,SCAR,nnpu,GCNConv,1.75,0.5256069224002217,0.005528142738601606
wiki-cs,SCAR,imbnnpu,MLP,1.75,0.7529380900882532,0.0029887707587294278
wiki-cs,SCAR,imbnnpu,GATConv,1.75,0.7331779670447731,0.02485436514799283
wiki-cs,SCAR,imbnnpu,GCNConv,1.75,0.802765968479226,0.0030289717937463986
wiki-cs,SCAR,ours,GCNConv,1.75,0.0,0.0
wiki-cs,SCAR,NNIF,MLP,2.0,0.0,0.0
wiki-cs,SCAR,two_nnif,MLP,2.0,0.0,0.0
wiki-cs,SCAR,two_nnif,GATConv,2.0,0.0,0.0
wiki-cs,SCAR,two_nnif,GCNConv,2.0,0.0,0.0
wiki-cs,SCAR,nnpu,MLP,2.0,0.44402848449118576,0.011116179625826136
wiki-cs,SCAR,nnpu,GATConv,2.0,0.47508505312689997,0.015026698019385259
wiki-cs,SCAR,nnpu,GCNConv,2.0,0.4739875447021875,0.000985869635180189
wiki-cs,SCAR,imbnnpu,MLP,2.0,0.7527325145286863,0.0027175518812086997
wiki-cs,SCAR,imbnnpu,GATConv,2.0,0.7294627715350445,0.028556163074570134
wiki-cs,SCAR,imbnnpu,GCNConv,2.0,0.8027638341541383,0.0028751829829296153
wiki-cs,SCAR,ours,GCNConv,2.0,0.0,0.0
wiki-cs,SAR,NNIF,MLP,0.75,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,0.75,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,0.75,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,0.75,0.0,0.0
wiki-cs,SAR,nnpu,MLP,0.75,0.7734317938674907,0.011164951854787877
wiki-cs,SAR,nnpu,GATConv,0.75,0.7526252027922485,0.03259149662168112
wiki-cs,SAR,nnpu,GCNConv,0.75,0.8250056128081461,0.0042850392690974935
wiki-cs,SAR,imbnnpu,MLP,0.75,0.7500694403034927,0.003105943489326436
wiki-cs,SAR,imbnnpu,GATConv,0.75,0.7457355513366789,0.04822005466106721
wiki-cs,SAR,imbnnpu,GCNConv,0.75,0.8049048623924554,0.0077916390732037065
wiki-cs,SAR,ours,GCNConv,0.75,0.0,0.0
wiki-cs,SAR,NNIF,MLP,1.0,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,1.0,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,1.0,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,1.0,0.0,0.0
wiki-cs,SAR,nnpu,MLP,1.0,0.7121256884815352,0.004646785948276828
wiki-cs,SAR,nnpu,GATConv,1.0,0.6951303109626972,0.016657921732186113
wiki-cs,SAR,nnpu,GCNConv,1.0,0.763658171322867,0.00548484551886197
wiki-cs,SAR,imbnnpu,MLP,1.0,0.749914456680241,0.0030313543369957113
wiki-cs,SAR,imbnnpu,GATConv,1.0,0.7444219648481852,0.04765050905704587
wiki-cs,SAR,imbnnpu,GCNConv,1.0,0.8051613020270653,0.00743959347814239
wiki-cs,SAR,ours,GCNConv,1.0,0.0,0.0
wiki-cs,SAR,NNIF,MLP,1.25,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,1.25,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,1.25,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,1.25,0.0,0.0
wiki-cs,SAR,nnpu,MLP,1.25,0.6391479105627876,0.010721965685017622
wiki-cs,SAR,nnpu,GATConv,1.25,0.6059878886963016,0.009925807594506704
wiki-cs,SAR,nnpu,GCNConv,1.25,0.6637618127547216,0.00796981980894105
wiki-cs,SAR,imbnnpu,MLP,1.25,0.7499926198999934,0.0031398358855908508
wiki-cs,SAR,imbnnpu,GATConv,1.25,0.742356344660175,0.0491729135583736
wiki-cs,SAR,imbnnpu,GCNConv,1.25,0.8050344771889311,0.007613576680406088
wiki-cs,SAR,ours,GCNConv,1.25,0.0,0.0
wiki-cs,SAR,NNIF,MLP,1.5,0.0,0.0
wiki-cs,SAR,two_nnif,MLP,1.5,0.0,0.0
wiki-cs,SAR,two_nnif,GATConv,1.5,0.0,0.0
wiki-cs,SAR,two_nnif,GCNConv,1.5,0.0,0.0
