dataset,mechanism,methodology,model_type,avg_f1,std_f1
wiki-cs,SCAR,imbnnpu,GATConv,0.0,0.0
wiki-cs,SCAR,imbnnpu,GCNConv,0.0,0.0
wiki-cs,SAR,XGBoost,MLP,0.0,0.0
wiki-cs,SAR,naive,MLP,0.13989579808282243,0.029194216760337184
wiki-cs,SAR,naive,GATConv,0.454480228368788,0.04507061356454573
wiki-cs,SAR,naive,GCNConv,0.47320596289116745,0.030050736526759703
wiki-cs,SAR,NNIF,MLP,0.7441568195304058,0.009273444475279006
wiki-cs,SAR,two_nnif,MLP,0.7451635391718229,0.013778558517299037
wiki-cs,SAR,two_nnif,GATConv,0.817297090236449,0.004386596183170536
wiki-cs,SAR,two_nnif,GCNConv,0.8258227497778602,0.010204802282483062
wiki-cs,SAR,spy,MLP,0.6831870220956241,0.008199060952924487
wiki-cs,SAR,spy,GATConv,0.7895649216815623,0.012441574992427274
wiki-cs,SAR,spy,GCNConv,0.7835463289304139,0.017275809550499836
wiki-cs,SAR,nnpu,MLP,0.0,0.0
wiki-cs,SAR,nnpu,GATConv,0.0,0.0
wiki-cs,SAR,nnpu,GCNConv,0.0,0.0
wiki-cs,SAR,imbnnpu,MLP,0.0,0.0
wiki-cs,SAR,imbnnpu,GATConv,0.0,0.0
wiki-cs,SAR,imbnnpu,GCNConv,0.0,0.0
