K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,clusters,sampling,num_epochs,anomaly_detector,accuracy,f1,recall,precision,losses,test_accuracy,test_f1,test_recall,test_precision,f1_std
18.0,2.0,128.0,256.0,,0.005,removal,0.0,0.1792051452925278,366.6,mean,GCNConv,2048.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[17.88140869140625, 17.450223684310913, 17.502580881118774, 17.253913640975952, 17.03054928779602, 16.765138149261475, 16.849466562271118, 16.61598491668701, 16.548347234725952, 16.410677909851074, 16.250705242156982, 15.993151426315308, 16.048068046569824, 15.635161876678467, 15.663752555847168, 15.482064247131348, 15.284882545471191, 15.254676103591919, 15.205010652542114, 14.909034967422485, 14.730070114135742, 14.762426376342773, 14.610636949539185, 14.414066314697266, 14.141140937805176, 14.105936527252197, 14.01797103881836, 13.865402460098267, 13.685912370681763, 13.654510974884033, 13.425826787948608, 13.387212753295898, 13.260507583618164, 12.963719844818115, 12.913289308547974, 12.680564880371094, 12.458387851715088, 12.499735593795776, 12.352977871894836, 12.060860514640808, 11.857322812080383, 11.795721530914307, 11.678191542625427, 11.396610021591187, 11.253674983978271, 11.122165083885193, 11.004459738731384, 10.77913761138916, 10.609713554382324, 10.39437735080719]",0.9570697809091786,0.8367294255593203,0.8510828976848395,0.8229528162033747,0.003803963482246582
21.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2381992627109956,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.501648426055908, 29.387727737426758, 28.81881356239319, 28.488149404525757, 28.43420171737671, 27.80592107772827, 27.580036163330078, 27.016836881637573, 26.499014377593994, 26.08852517604828, 25.713820695877075, 25.3456768989563, 24.905694842338562, 24.753462553024292, 24.413705110549927, 23.85291016101837, 23.763490676879883, 22.916593313217163, 22.589551210403442, 22.176995873451233, 21.265976786613464, 20.948755025863647, 20.231249570846558, 20.16602051258087, 19.053935408592224, 18.6692556142807, 17.752533435821533, 17.057676315307617, 16.2841157913208, 15.751253008842468, 15.034252882003784, 14.387173295021057, 13.652895331382751, 13.127567052841187, 12.553361296653748, 11.964556097984314, 11.38248610496521, 10.923205614089966, 10.41373085975647, 9.853799045085907, 9.502004027366638, 8.960514605045319, 8.605576813220978, 8.217868864536285, 7.837711274623871, 7.53804087638855, 7.228903234004974, 6.9019735455513, 6.6427066922187805, 6.32522451877594]",0.9558536820770195,0.8358725104101479,0.8697535474234505,0.8046157639118249,0.003336644373314206
21.0,2.0,256.0,256.0,,0.005,removal,0.0,0.23689444911070606,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.583038330078125, 29.458064317703247, 28.889306783676147, 28.56096839904785, 28.5063419342041, 27.881434440612793, 27.650904178619385, 27.07511806488037, 26.567694425582886, 26.157649755477905, 25.7842116355896, 25.413535356521606, 24.974005937576294, 24.82479190826416, 24.477354884147644, 23.917250275611877, 23.829566717147827, 22.97948431968689, 22.651639938354492, 22.237520813941956, 21.326481819152832, 21.007670283317566, 20.286266565322876, 20.22567844390869, 19.10693609714508, 18.71972405910492, 17.802587628364563, 17.10647487640381, 16.333919167518616, 15.795004963874817, 15.080350995063782, 14.42905592918396, 13.69012975692749, 13.165592193603516, 12.586296319961548, 12.001085638999939, 11.414056837558746, 10.95492297410965, 10.442248940467834, 9.882501006126404, 9.527620732784271, 8.984365105628967, 8.628519654273987, 8.24008721113205, 7.857194483280182, 7.558250248432159, 7.247597932815552, 6.920472741127014, 6.659996151924133, 6.340471863746643]",0.9558922883891515,0.8358422573668219,0.868707991038088,0.8054853024032695,0.005623246830194039
25.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2588640367733446,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.925041913986206, 29.794233560562134, 29.151684999465942, 28.82544231414795, 28.754642724990845, 28.132266759872437, 27.80676293373108, 27.27814531326294, 26.72006130218506, 26.266605615615845, 25.90189814567566, 25.584806323051453, 25.132457971572876, 25.04763102531433, 24.74957776069641, 24.23049783706665, 24.222424626350403, 23.451048851013184, 23.200281858444214, 22.934796929359436, 22.10594117641449, 21.9447979927063, 21.355831265449524, 21.479660987854004, 20.44419002532959, 20.23564326763153, 19.37027883529663, 18.78507113456726, 18.096673846244812, 17.67256736755371, 16.984956741333008, 16.359214425086975, 15.645199060440063, 15.113763451576233, 14.530503034591675, 13.887859582901001, 13.252895951271057, 12.761748790740967, 12.17545086145401, 11.502721309661865, 11.084298491477966, 10.445156574249268, 10.02271020412445, 9.553694486618042, 9.09022468328476, 8.72382378578186, 8.340048909187317, 7.945352852344513, 7.62613046169281, 7.237102270126343]",0.9551973747707752,0.834568954918028,0.8743838685586258,0.7983204776889063,0.004402276751868317
24.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2587851987864763,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.520583391189575, 29.369953393936157, 28.75765585899353, 28.43173122406006, 28.359063863754272, 27.738672018051147, 27.4457106590271, 26.914864540100098, 26.3694589138031, 25.938000321388245, 25.57511019706726, 25.252304911613464, 24.814892530441284, 24.7203289270401, 24.416386246681213, 23.897208094596863, 23.879119277000427, 23.101512789726257, 22.8380126953125, 22.546952605247498, 21.711713790893555, 21.519447565078735, 20.91145122051239, 20.990291595458984, 19.94852375984192, 19.699047803878784, 18.827803373336792, 18.2199569940567, 17.513168215751648, 17.060316681861877, 16.36509895324707, 15.73551881313324, 15.015438795089722, 14.483344316482544, 13.904462695121765, 13.273239850997925, 12.652061343193054, 12.169673204421997, 11.605689287185669, 10.9668687582016, 10.566074073314667, 9.95335865020752, 9.551381707191467, 9.107600748538971, 8.669562757015228, 8.323808431625366, 7.962468445301056, 7.588791608810425, 7.2880207896232605, 6.922203063964844]",0.9550815558343789,0.8344001518532844,0.875578790141897,0.7969504622378896,0.004069069349702694
9.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2514000199242495,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[21.886608123779297, 21.509214282035828, 21.52124333381653, 20.89466667175293, 20.25193190574646, 19.83756709098816, 19.552566647529602, 18.963228702545166, 18.508859992027283, 17.877613306045532, 17.32633137702942, 16.9806045293808, 16.406346321105957, 15.883964896202087, 15.213127255439758, 14.814006805419922, 14.057072043418884, 13.576277732849121, 12.968756675720215, 12.496912479400635, 11.990607678890228, 11.516105890274048, 10.936511158943176, 10.571744441986084, 10.051988899707794, 9.727181553840637, 9.120414137840271, 8.77078402042389, 8.44241213798523, 8.098006844520569, 7.747150897979736, 7.4673574566841125, 7.090310275554657, 6.80208545923233, 6.577066540718079, 6.320043206214905, 6.03712597489357, 5.861220151185989, 5.634852886199951, 5.427492827177048, 5.2161159217357635, 5.040809839963913, 4.831248849630356, 4.667041689157486, 4.533429205417633, 4.393934577703476, 4.22699373960495, 4.112857133150101, 3.9746994078159332, 3.8435626924037933]",0.955158768458643,0.8341865002767956,0.8725914861837193,0.7991250649791336,0.005316810321535166
20.0,2.0,256.0,128.0,,0.005,removal,0.0,0.183749430729295,366.6,mean,GCNConv,4096.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[10.558955192565918, 10.565776824951172, 10.155612707138062, 10.341969013214111, 9.95133662223816, 10.248567342758179, 10.036101579666138, 9.867886781692505, 9.867874145507812, 9.792939186096191, 9.78086543083191, 9.974059104919434, 9.690372467041016, 9.737292051315308, 9.662697076797485, 9.495670795440674, 9.625553131103516, 9.58123517036438, 9.467608451843262, 9.277251482009888, 9.314841032028198, 9.241539716720581, 9.098729848861694, 9.160736322402954, 8.913732767105103, 8.92067003250122, 8.948375940322876, 8.866745233535767, 8.896085500717163, 8.853650093078613, 8.698696851730347, 8.795191049575806, 8.652260541915894, 8.596060276031494, 8.584937572479248, 8.554853916168213, 8.470969676971436, 8.444592952728271, 8.428689241409302, 8.355374336242676, 8.282232999801636, 8.26561450958252, 8.225262880325317, 8.18933629989624, 7.980229616165161, 8.137550354003906, 8.086052894592285, 8.10970139503479, 7.979999780654907, 7.986042737960815]",0.9547340990251906,0.8327477793044661,0.8718446601941748,0.7971020963501051,0.005591684292714668
24.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2710940237784315,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[28.721867084503174, 28.575523376464844, 27.983361959457397, 27.665675163269043, 27.59518599510193, 26.990597009658813, 26.699996948242188, 26.179205775260925, 25.65513777732849, 25.23120379447937, 24.87792468070984, 24.55913531780243, 24.128405570983887, 24.037296652793884, 23.73971712589264, 23.239232420921326, 23.215025424957275, 22.459729194641113, 22.20427644252777, 21.917365074157715, 21.10423731803894, 20.921274542808533, 20.32604205608368, 20.398964762687683, 19.39145302772522, 19.146053194999695, 18.299827456474304, 17.709477186203003, 17.020995140075684, 16.58274507522583, 15.912363886833191, 15.297674179077148, 14.59926962852478, 14.08109700679779, 13.51869511604309, 12.90884006023407, 12.303850054740906, 11.834764659404755, 11.28694999217987, 10.668521881103516, 10.276777446269989, 9.684469640254974, 9.292474746704102, 8.862335622310638, 8.436097919940948, 8.10050231218338, 7.7484142780303955, 7.3863449692726135, 7.094354927539825, 6.737964332103729]",0.9542515201235403,0.8325925744647984,0.8800597460791636,0.7900748754283609,0.006472948506401368
13.0,2.0,256.0,256.0,,0.005,removal,0.0,0.1633870985598925,366.6,mean,GCNConv,4096.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[8.963687658309937, 8.798352241516113, 8.728533267974854, 8.816595315933228, 8.791707515716553, 8.721043825149536, 8.619099140167236, 8.601208448410034, 8.598420858383179, 8.56124758720398, 8.608498811721802, 8.423733711242676, 8.29322338104248, 8.287413358688354, 8.384929895401001, 8.182795286178589, 8.242714643478394, 8.190064430236816, 8.078423261642456, 7.990249395370483, 7.973598480224609, 7.915237665176392, 7.988326787948608, 7.958245277404785, 7.839733362197876, 7.842161417007446, 7.746174097061157, 7.7468578815460205, 7.701097726821899, 7.58825159072876, 7.640346050262451, 7.46385645866394, 7.4427878856658936, 7.435729026794434, 7.364871978759766, 7.411875247955322, 7.31311821937561, 7.233644008636475, 7.2138683795928955, 7.120994329452515, 7.064999341964722, 7.085792303085327, 7.088555097579956, 7.116366863250732, 6.954226970672607, 6.868509292602539, 6.805871248245239, 6.841719388961792, 6.85370397567749, 6.714432716369629]",0.9556606505163593,0.8319398395297999,0.8492905153099327,0.8154677662926607,0.006325781853096852
16.0,3.0,256.0,256.0,,0.005,removal,0.0,0.2032806709555109,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[29.960046529769897, 29.150237560272217, 29.21613383293152, 28.934754848480225, 28.33746314048767, 28.046112298965454, 27.63190484046936, 27.028147220611572, 26.56748104095459, 26.22070550918579, 25.61855721473694, 25.435762405395508, 24.828161478042603, 24.46457529067993, 23.62669610977173, 22.83438003063202, 22.229738116264343, 21.827473163604736, 21.129060983657837, 20.542133450508118, 19.747103095054626, 18.992551803588867, 18.44268572330475, 17.64668047428131, 16.787441730499268, 16.162919282913208, 15.420242190361023, 14.839116334915161, 14.011570453643799, 13.480221629142761, 12.700220286846161, 12.24983012676239, 11.601116418838501, 11.179542422294617, 10.58690357208252, 10.121301412582397, 9.662344872951508, 9.351311326026917, 8.83747136592865, 8.466996729373932, 8.127484798431396, 7.770423054695129, 7.479167997837067, 7.190775573253632, 6.917164087295532, 6.689724802970886, 6.357005536556244, 6.116906255483627, 5.931593745946884, 5.702483206987381]",0.9543094295917381,0.8305277240843946,0.8660194174757281,0.7982859438697663,0.005152097787096963
18.0,2.0,256.0,256.0,,0.005,removal,0.0,0.2859833976135958,366.6,mean,GCNConv,1024.0,10.0,50.0,sage,50.0,nearest_neighbors,,0.0,0.0,0.0,"[25.29421901702881, 25.096015214920044, 24.662485241889954, 24.362624287605286, 24.29635977745056, 23.75153398513794, 23.601117372512817, 23.059329748153687, 22.622135877609253, 22.280550479888916, 21.91922354698181, 21.540234565734863, 21.131999731063843, 20.88265323638916, 20.525660157203674, 19.981117486953735, 19.801185250282288, 19.016104221343994, 18.64082109928131, 18.15791881084442, 17.320959091186523, 16.928134441375732, 16.25530755519867, 16.056366801261902, 15.094340562820435, 14.682313323020935, 13.918892979621887, 13.29885733127594, 12.637815833091736, 12.162383615970612, 11.593250572681427, 11.071346461772919, 10.481162667274475, 10.072380244731903, 9.622578620910645, 9.183210551738739, 8.740855395793915, 8.391067206859589, 8.015689194202423, 7.605457067489624, 7.3490211963653564, 6.9450236558914185, 6.685677468776703, 6.4005900621414185, 6.119539380073547, 5.899038195610046, 5.672065287828445, 5.43050342798233, 5.238253563642502, 4.999240130186081]",0.9534021812566355,0.8304018361562149,0.8827483196415236,0.7839339786338174,0.003996486963197976
