dataset,mechanism,methodology,model_type,avg_f1,std_f1,,0.5,0.4,0.3,0.2
wiki-cs,SCAR,spy,MLP,0.6836365806873916,0.010823334205798174,,,,,
wiki-cs,SCAR,spy,GATConv,0.7869593507352324,0.010823968980942048,,,,,
wiki-cs,SCAR,spy,GCNConv,0.7853676812719985,0.017799953,,,,,
wiki-cs,SCAR,nnpu,MLP,0.713225933,0.006336129,,,,,
wiki-cs,SCAR,nnpu,GATConv,0.683064616,0.070790727,,,,,
wiki-cs,SCAR,nnpu,GCNConv,0.7674917725750394,0.006189728,,,,,
wiki-cs,SCAR,imbnnpu,MLP,0.7529396817216176,0.002726395,,,,,
wiki-cs,SCAR,imbnnpu,GATConv,0.7425452820394203,0.02873396,,,,,
wiki-cs,SCAR,imbnnpu,GCNConv,0.8008928791255874,0.001617823,,,,,
wiki-cs,SAR,naive,XGBoost,0,0,,,,,
wiki-cs,SAR,naive,MLP,0.13989579808282243,0.029194216760337184,,,,,
wiki-cs,SAR,naive,GATConv,0.454480228,0.045070614,,,,,
wiki-cs,SAR,naive,GCNConv,0.47320596289116745,0.030050736526759703,,,,,
wiki-cs,SAR,two_nnif,NNIF+XGBoost,0.7441568195304058,0.009273444,,,,,
wiki-cs,SAR,two_nnif,MLP,0.7451635391718229,0.013778558517299037,,,,,
wiki-cs,SAR,two_nnif,GATConv,0.81729709,0.004386596,,,,,
wiki-cs,SAR,two_nnif,GCNConv,0.8258227497778602,0.010204802282483062,,,,,
wiki-cs,SAR,spy,MLP,0.6831870220956241,0.008199061,,,,,
wiki-cs,SAR,spy,GATConv,0.7895649216815623,0.012441574992427274,,,,,
wiki-cs,SAR,spy,GCNConv,0.7835463289304139,0.017275809550499836,,,,,
wiki-cs,SAR,nnpu,MLP,0.711651118,0.004739454,,,,,
wiki-cs,SAR,nnpu,GATConv,0.6963762978555826,0.017410098335947154,,,,,
wiki-cs,SAR,nnpu,GCNConv,0.7679713148008249,0.007831178,,,,,
wiki-cs,SAR,imbnnpu,MLP,0.7510698675279007,0.00316675,,,,,
wiki-cs,SAR,imbnnpu,GATConv,0.7391148076395588,0.054953657,,,,,
wiki-cs,SAR,imbnnpu,GCNConv,0.8031098756593504,0.006854145,,,,,
