dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
cora,SCAR,imbnnpu,GATConv,0.4,0.7620167461567577,0.017104940574687144
cora,SCAR,imbnnpu,GCNConv,0.4,0.829897265190643,0.01920539755242832
cora,SCAR,imbnnpu,MLP,0.3,0.4390592215098375,0.018984504488493873
cora,SCAR,imbnnpu,GATConv,0.3,0.7305170596509809,0.016394882757011526
cora,SCAR,imbnnpu,GCNConv,0.3,0.8140014428339186,0.030438842696870094
cora,SCAR,imbnnpu,MLP,0.2,0.3171661258643958,0.016171574665491132
cora,SCAR,imbnnpu,GATConv,0.2,0.619677827478562,0.021754462647876043
cora,SCAR,imbnnpu,GCNConv,0.2,0.7565234937536903,0.013715677486885142
cora,SCAR,ours,GCNConv,0.4,0.5843102864163571,0.010582596812098301
cora,SCAR,ours,GCNConv,0.3,0.5674661609291839,0.017030867895213617
cora,SCAR,ours,GCNConv,0.2,0.385188235827088,0.0663072082865197
cora,SAR,naive,MLP,0.4,0.05126471889237893,0.050740436319127856
cora,SAR,naive,GATConv,0.4,0.1930204297616578,0.04479500518252262
cora,SAR,naive,GCNConv,0.4,0.11811913661796795,0.09201423881332008
cora,SAR,naive,MLP,0.3,0.0,0.0
cora,SAR,naive,GATConv,0.3,0.03176611717359337,0.023893848502697414
cora,SAR,naive,GCNConv,0.3,0.0,0.0
cora,SAR,naive,MLP,0.2,0.0,0.0
cora,SAR,naive,GATConv,0.2,0.002035623409669211,0.0014394031169191806
cora,SAR,naive,GCNConv,0.2,0.0,0.0
cora,SAR,NNIF,MLP,0.4,0.2236045844039836,0.05683998379785542
cora,SAR,NNIF,MLP,0.3,0.18972494304227236,0.06719165361653869
cora,SAR,NNIF,MLP,0.2,0.11488085757866506,0.030992040790569768
cora,SAR,two_nnif,MLP,0.4,0.14784184686797316,0.034025882986778236
cora,SAR,two_nnif,GATConv,0.4,0.38064337751074273,0.09886484450992027
cora,SAR,two_nnif,GCNConv,0.4,0.38673754574351255,0.037416919465470884
cora,SAR,two_nnif,MLP,0.3,0.12677411420656085,0.040045628676369745
cora,SAR,two_nnif,GATConv,0.3,0.14389345060304937,0.09790152144624004
cora,SAR,two_nnif,GCNConv,0.3,0.04749375168984641,0.04900067010257816
cora,SAR,two_nnif,MLP,0.2,0.0010178117048346056,0.0014394031169191806
cora,SAR,two_nnif,GATConv,0.2,0.014067082600117313,0.013951879669883156
cora,SAR,two_nnif,GCNConv,0.2,0.0080778217905633,0.009348146573046891
cora,SAR,spy,MLP,0.4,0.5200804880969246,0.022259688317768356
cora,SAR,spy,GATConv,0.4,0.7020387311787507,0.01239751960761299
cora,SAR,spy,GCNConv,0.4,0.7294533396473231,0.014651130982353978
cora,SAR,spy,MLP,0.3,0.5068072573244595,0.006444351558617415
cora,SAR,spy,GATConv,0.3,0.625913320815195,0.01625308950524825
cora,SAR,spy,GCNConv,0.3,0.6658052708410409,0.013943960852479256
cora,SAR,spy,MLP,0.2,0.4374032470686267,0.007246726062928104
cora,SAR,spy,GATConv,0.2,0.5856187548410987,0.03758284575869357
cora,SAR,spy,GCNConv,0.2,0.5790865246954262,0.014511285561866866
cora,SAR,nnpu,MLP,0.4,0.6703430199920172,0.011427188743598287
cora,SAR,nnpu,GATConv,0.4,0.816244116882793,0.012729250235714936
cora,SAR,nnpu,GCNConv,0.4,0.8373289789899089,0.01075037712534609
cora,SAR,nnpu,MLP,0.3,0.6613315370076092,0.008965254458452993
cora,SAR,nnpu,GATConv,0.3,0.8205539539317473,0.015160272031347451
cora,SAR,nnpu,GCNConv,0.3,0.8462488715142961,0.014566460605889595
cora,SAR,nnpu,MLP,0.2,0.6509513782392492,0.018858093150399553
cora,SAR,nnpu,GATConv,0.2,0.8110197381016583,0.015031893918700091
cora,SAR,nnpu,GCNConv,0.2,0.8327731422646155,0.01311899313619086
cora,SAR,imbnnpu,MLP,0.4,0.5306398189811051,0.025004183959084155
cora,SAR,imbnnpu,GATConv,0.4,0.8084922160141955,0.009683951582534924
cora,SAR,imbnnpu,GCNConv,0.4,0.8439095496884558,0.015188730190679844
cora,SAR,imbnnpu,MLP,0.3,0.43653458004152385,0.026311482705686347
cora,SAR,imbnnpu,GATConv,0.3,0.7558732560226286,0.030294951406863693
cora,SAR,imbnnpu,GCNConv,0.3,0.81612726764696,0.016375287447973595
cora,SAR,imbnnpu,MLP,0.2,0.3375406786063267,0.021804158324647358
cora,SAR,imbnnpu,GATConv,0.2,0.6488409264716574,0.02962560845142582
cora,SAR,imbnnpu,GCNConv,0.2,0.7668440740586903,0.01660804245601154
cora,SAR,ours,GCNConv,0.4,0.5677766330521955,0.023183248848985465
cora,SAR,ours,GCNConv,0.3,0.5231665867571841,0.03415177755175401
cora,SAR,ours,GCNConv,0.2,0.33260537041531546,0.0767499205055288
pubmed,SCAR,naive,MLP,0.4,0.17669525451909882,0.014563815034171338
pubmed,SCAR,naive,GATConv,0.4,0.15335803264067818,0.02301485395586371
pubmed,SCAR,naive,GCNConv,0.4,0.0,0.0
pubmed,SCAR,naive,MLP,0.3,0.04001614713420771,0.029585077549113572
pubmed,SCAR,naive,GATConv,0.3,0.03492407596720649,0.020040993317071466
pubmed,SCAR,naive,GCNConv,0.3,0.0,0.0
pubmed,SCAR,naive,MLP,0.2,0.005767919878349326,0.008157070518642989
pubmed,SCAR,naive,GATConv,0.2,0.005589821424438435,0.002252736618327486
pubmed,SCAR,naive,GCNConv,0.2,0.0,0.0
pubmed,SCAR,NNIF,MLP,0.4,0.6780030665733244,0.0034136542910717313
pubmed,SCAR,NNIF,MLP,0.3,0.6605682461925976,0.010750954823601644
pubmed,SCAR,NNIF,MLP,0.2,0.5936311870207898,0.006831617658702854
pubmed,SCAR,two_nnif,MLP,0.4,0.7102576917232429,0.004833776435994333
pubmed,SCAR,two_nnif,GATConv,0.4,0.7171993797342533,0.019109964706741575
pubmed,SCAR,two_nnif,GCNConv,0.4,0.7354317585058957,0.0024243007137039153
pubmed,SCAR,two_nnif,MLP,0.3,0.6868768400929771,0.010845109260809296
pubmed,SCAR,two_nnif,GATConv,0.3,0.67734680842598,0.01143498996215919
pubmed,SCAR,two_nnif,GCNConv,0.3,0.7065169097496931,0.009341645073041721
pubmed,SCAR,two_nnif,MLP,0.2,0.6230199778963935,0.008049628442674634
pubmed,SCAR,two_nnif,GATConv,0.2,0.6095303488875934,0.007426046880749558
pubmed,SCAR,two_nnif,GCNConv,0.2,0.627368344863187,0.007287284315690859
pubmed,SCAR,spy,MLP,0.4,0.7386477414595148,0.010184994366460694
pubmed,SCAR,spy,GATConv,0.4,0.7907927253852757,0.003142475702622483
pubmed,SCAR,spy,GCNConv,0.4,0.7947612483299119,0.0048684676372068025
pubmed,SCAR,spy,MLP,0.3,0.7616495607633368,0.005177042868517874
pubmed,SCAR,spy,GATConv,0.3,0.7999124097211076,0.0055928300966185075
pubmed,SCAR,spy,GCNConv,0.3,0.8047702761371572,0.005221639925576838
pubmed,SCAR,spy,MLP,0.2,0.7557098212485864,0.00533210994820043
pubmed,SCAR,spy,GATConv,0.2,0.7895545428537272,0.004334147253498834
pubmed,SCAR,spy,GCNConv,0.2,0.794632169205452,0.004124966168646848
pubmed,SCAR,nnpu,MLP,0.4,0.5746137002935313,0.03663299239251936
pubmed,SCAR,nnpu,GATConv,0.4,0.6393123760875817,0.020978621782935435
pubmed,SCAR,nnpu,GCNConv,0.4,0.6406458404196194,0.030770788737239325
pubmed,SCAR,nnpu,MLP,0.3,0.5574047887430477,0.0347995433924258
pubmed,SCAR,nnpu,GATConv,0.3,0.6350456353500517,0.021033677864690084
pubmed,SCAR,nnpu,GCNConv,0.3,0.6321284690546906,0.027444924205164947
pubmed,SCAR,nnpu,MLP,0.2,0.5474352540246517,0.04821051158412596
pubmed,SCAR,nnpu,GATConv,0.2,0.6328490303501569,0.026778373446212155
pubmed,SCAR,nnpu,GCNConv,0.2,0.6251290417121176,0.027892810341843564
pubmed,SCAR,imbnnpu,MLP,0.4,0.6886453603388333,0.002803031243977375
pubmed,SCAR,imbnnpu,GATConv,0.4,0.723788533541936,0.004670972890141322
pubmed,SCAR,imbnnpu,GCNConv,0.4,0.7310128836019673,0.005773550008400613
pubmed,SCAR,imbnnpu,MLP,0.3,0.7064348856431172,0.0020898761965610357
pubmed,SCAR,imbnnpu,GATConv,0.3,0.7359239651453321,0.002286560263969019
pubmed,SCAR,imbnnpu,GCNConv,0.3,0.7486700165307226,0.004772679873822561
pubmed,SCAR,imbnnpu,MLP,0.2,0.7182652208418824,0.009413032813498484
pubmed,SCAR,imbnnpu,GATConv,0.2,0.7427381439836737,0.008467130235019275
pubmed,SCAR,imbnnpu,GCNConv,0.2,0.7567573238353166,0.012044901740041811
pubmed,SCAR,ours,GCNConv,0.4,0.6708236486475284,0.003899924656406887
pubmed,SCAR,ours,GCNConv,0.3,0.6486812110473509,0.009740333926469795
pubmed,SCAR,ours,GCNConv,0.2,0.5970065632387908,0.013568937287015321
pubmed,SAR,naive,MLP,0.4,0.13534303896555086,0.09615933807382074
pubmed,SAR,naive,GATConv,0.4,0.13676655837399368,0.00925342570474322
pubmed,SAR,naive,GCNConv,0.4,0.0,0.0
pubmed,SAR,naive,MLP,0.3,0.01590949266395616,0.022499420295842065
pubmed,SAR,naive,GATConv,0.3,0.039774006454491515,0.0024225214357492535
pubmed,SAR,naive,GCNConv,0.3,0.0,0.0
pubmed,SAR,naive,MLP,0.2,0.0057661057818315245,0.008154504998744061
pubmed,SAR,naive,GATConv,0.2,0.011667038520143502,0.0027632559312547314
pubmed,SAR,naive,GCNConv,0.2,0.0,0.0
pubmed,SAR,NNIF,MLP,0.4,0.6614158552706477,0.012080430229176412
pubmed,SAR,NNIF,MLP,0.3,0.6464880288446134,0.00895823539716485
pubmed,SAR,NNIF,MLP,0.2,0.574935767606066,0.02610548632542461
pubmed,SAR,two_nnif,MLP,0.4,0.7006712778787056,0.003994975890632853
pubmed,SAR,two_nnif,GATConv,0.4,0.696475574692189,0.007709787589780342
pubmed,SAR,two_nnif,GCNConv,0.4,0.7284711243583099,0.004412641233721965
pubmed,SAR,two_nnif,MLP,0.3,0.6748035133106988,0.0032679154941604735
pubmed,SAR,two_nnif,GATConv,0.3,0.6639254582850757,0.017404125662559517
pubmed,SAR,two_nnif,GCNConv,0.3,0.6965690222356358,0.004123559806105812
pubmed,SAR,two_nnif,MLP,0.2,0.6102508617767632,0.02055069021746833
pubmed,SAR,two_nnif,GATConv,0.2,0.5754904050211721,0.01406426334050296
pubmed,SAR,two_nnif,GCNConv,0.2,0.41084765497565634,0.29075529322337207
pubmed,SAR,spy,MLP,0.4,0.7437138409613696,0.0023950471128047265
pubmed,SAR,spy,GATConv,0.4,0.7903651839351893,0.0021626971386713607
pubmed,SAR,spy,GCNConv,0.4,0.7945238220581906,0.0027647190066318987
pubmed,SAR,spy,MLP,0.3,0.7552475833780202,0.0032377910841111398
pubmed,SAR,spy,GATConv,0.3,0.7993669492841832,0.002229146100183303
pubmed,SAR,spy,GCNConv,0.3,0.799777031163471,0.0015221343376254925
pubmed,SAR,spy,MLP,0.2,0.7627430694362346,7.537399434955465e-05
pubmed,SAR,spy,GATConv,0.2,0.7871959912064891,0.006583769763821019
pubmed,SAR,spy,GCNConv,0.2,0.7762166091139454,0.01726158857701707
pubmed,SAR,nnpu,MLP,0.4,0.5573216464636447,0.037319790257128144
pubmed,SAR,nnpu,GATConv,0.4,0.6282561222507083,0.011718314824498203
pubmed,SAR,nnpu,GCNConv,0.4,0.623133322963175,0.007867594536215624
pubmed,SAR,nnpu,MLP,0.3,0.5531745681350969,0.03250501028702364
