dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
citeseer,SAR,imbnnpu,GCNConv,1.5,0.6893039630530317,0.015166590945944448
citeseer,SAR,ours,GATConv,1.5,0.7135764399796666,0.003921107
citeseer,SAR,NNIF,MLP,1.75,0.5510769941237731,0.03243295
citeseer,SAR,two_nnif,MLP,1.75,0.5847770949013451,0.043101679
citeseer,SAR,two_nnif,GATConv,1.75,0.6130597773444304,0.033394488
citeseer,SAR,two_nnif,GCNConv,1.75,0.6483066488467029,0.019389916692781953
citeseer,SAR,nnpu,MLP,1.75,0.5521872080378195,0.025791678
citeseer,SAR,nnpu,GATConv,1.75,0.5977246404226392,0.02281698
citeseer,SAR,nnpu,GCNConv,1.75,0.5634854225113295,0.014789191731303799
citeseer,SAR,imbnnpu,MLP,1.75,0.4858906877968579,0.026853317
citeseer,SAR,imbnnpu,GATConv,1.75,0.6870641790874127,0.030034661818727156
citeseer,SAR,imbnnpu,GCNConv,1.75,0.6893039630530317,0.015166590945944448
citeseer,SAR,ours,GATConv,1.75,0.7043883309633223,0.004176095
citeseer,SAR,NNIF,MLP,2,0.5692364954241266,0.028309949967036667
citeseer,SAR,two_nnif,MLP,2,0.6067608882122016,0.037152053037378126
citeseer,SAR,two_nnif,GATConv,2,0.633379666,0.036998069151867465
citeseer,SAR,two_nnif,GCNConv,2,0.6566010912962684,0.020957002
citeseer,SAR,nnpu,MLP,2,0.5098199863522623,0.041422735184178994
citeseer,SAR,nnpu,GATConv,2,0.5384465732860434,0.016257439
citeseer,SAR,nnpu,GCNConv,2,0.5565562282170237,0.027905734773714067
citeseer,SAR,imbnnpu,MLP,2,0.4851589479346832,0.027247523881372544
citeseer,SAR,imbnnpu,GATConv,2,0.6860646788375376,0.030180913241716647
citeseer,SAR,imbnnpu,GCNConv,2,0.6893039630530317,0.015166590945944448
citeseer,SAR,ours,GATConv,2,0.6886947394068482,0.001784338
cora,SCAR,NNIF,MLP,0.75,0.31248261840703107,0.078607975
cora,SCAR,two_nnif,MLP,0.75,0.2517136635297138,0.025649479365688226
cora,SCAR,two_nnif,GATConv,0.75,0.5112369234778482,0.037028301
cora,SCAR,two_nnif,GCNConv,0.75,0.5192823717633374,0.026548654783058897
cora,SCAR,nnpu,MLP,0.75,0.6475776730868891,0.018448757740985533
cora,SCAR,nnpu,GATConv,0.75,0.7734777106718068,0.016212796
cora,SCAR,nnpu,GCNConv,0.75,0.8346146569585117,0.004249294
cora,SCAR,imbnnpu,MLP,0.75,0.5569311167127684,0.019661884773697874
cora,SCAR,imbnnpu,GATConv,0.75,0.7674370601371883,0.007134488
cora,SCAR,imbnnpu,GCNConv,0.75,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,0.75,0.5921726334943315,0.007804958
cora,SCAR,NNIF,MLP,1,0.460290435,0.066729598
cora,SCAR,two_nnif,MLP,1,0.3787834279686339,0.043880281
cora,SCAR,two_nnif,GATConv,1,0.6070556427699285,0.035035491029624145
cora,SCAR,two_nnif,GCNConv,1,0.6177501156748127,0.012278819780072442
cora,SCAR,nnpu,MLP,1,0.6653586494160151,0.022136272
cora,SCAR,nnpu,GATConv,1,0.7452302463014907,0.025969206888185443
cora,SCAR,nnpu,GCNConv,1,0.8139115984192419,0.011379231553646424
cora,SCAR,imbnnpu,MLP,1,0.5538742665423486,0.022377713993736243
cora,SCAR,imbnnpu,GATConv,1,0.7665080910330045,0.007637228
cora,SCAR,imbnnpu,GCNConv,1,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,1,0.7807002025151167,0.012238796
cora,SCAR,NNIF,MLP,1.25,0.5176652445433748,0.059091998302707456
cora,SCAR,two_nnif,MLP,1.25,0.4617574622164173,0.041075367
cora,SCAR,two_nnif,GATConv,1.25,0.6647504953143997,0.010118282840484646
cora,SCAR,two_nnif,GCNConv,1.25,0.6572769414114144,0.021509559195557408
cora,SCAR,nnpu,MLP,1.25,0.6222510541897837,0.002609482
cora,SCAR,nnpu,GATConv,1.25,0.71091049,0.038786812
cora,SCAR,nnpu,GCNConv,1.25,0.7591711037572014,0.020874851
cora,SCAR,imbnnpu,MLP,1.25,0.5541980227446711,0.020443117
cora,SCAR,imbnnpu,GATConv,1.25,0.7666069794191473,0.007047288
cora,SCAR,imbnnpu,GCNConv,1.25,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,1.25,0.7878386124656706,0.014975764001966554
cora,SCAR,NNIF,MLP,1.5,0.569491806,0.024603970595366058
cora,SCAR,two_nnif,MLP,1.5,0.5337187027897297,0.012408721985925816
cora,SCAR,two_nnif,GATConv,1.5,0.6982147466819749,0.032394152
cora,SCAR,two_nnif,GCNConv,1.5,0.7325795535311999,0.016531829938955803
cora,SCAR,nnpu,MLP,1.5,0.5820108983651399,0.029074730093642552
cora,SCAR,nnpu,GATConv,1.5,0.6558417301300666,0.036062306
cora,SCAR,nnpu,GCNConv,1.5,0.6571880207190202,0.010030449299846566
cora,SCAR,imbnnpu,MLP,1.5,0.5561933017898255,0.019274092
cora,SCAR,imbnnpu,GATConv,1.5,0.7661728342059564,0.007342056
cora,SCAR,imbnnpu,GCNConv,1.5,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,1.5,0.7787575194976822,0.028746670463838525
cora,SCAR,NNIF,MLP,1.75,0.5743964567915709,0.015265277833648564
cora,SCAR,two_nnif,MLP,1.75,0.5443041216780827,0.023931480087931885
cora,SCAR,two_nnif,GATConv,1.75,0.7036946957676182,0.020630624
cora,SCAR,two_nnif,GCNConv,1.75,0.7529600592564772,0.009168262
cora,SCAR,nnpu,MLP,1.75,0.5198699008517533,0.012109206247892912
cora,SCAR,nnpu,GATConv,1.75,0.5859830055126968,0.016993395957454294
cora,SCAR,nnpu,GCNConv,1.75,0.5863903153116983,0.018294202
cora,SCAR,imbnnpu,MLP,1.75,0.5539195501919386,0.020834388964960017
cora,SCAR,imbnnpu,GATConv,1.75,0.7666069794191473,0.007047288
cora,SCAR,imbnnpu,GCNConv,1.75,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,1.75,0.7552856460713397,0.016986472047207393
cora,SCAR,NNIF,MLP,2,0.5806987278275922,0.016766200531127675
cora,SCAR,two_nnif,MLP,2,0.5610202177366356,0.015404520922892443
cora,SCAR,two_nnif,GATConv,2,0.7228457729620588,0.024101023870282363
cora,SCAR,two_nnif,GCNConv,2,0.7602180705343962,0.00680051
cora,SCAR,nnpu,MLP,2,0.45420354476015196,0.010409291794600949
cora,SCAR,nnpu,GATConv,2,0.5103293085497358,0.018589847
cora,SCAR,nnpu,GCNConv,2,0.5213402876255043,0.033696694
cora,SCAR,imbnnpu,MLP,2,0.5539195501919386,0.020834388964960017
cora,SCAR,imbnnpu,GATConv,2,0.7665080910330045,0.007637228
cora,SCAR,imbnnpu,GCNConv,2,0.832680986,0.006638349
cora,SCAR,ours,GCNConv,2,0.7250036599534321,0.022443423234936227
cora,SAR,NNIF,MLP,0.75,0.28008183429776384,0.062143288
cora,SAR,two_nnif,MLP,0.75,0.19191392883735328,0.034638009
cora,SAR,two_nnif,GATConv,0.75,0.45304891599694486,0.052475942037915974
cora,SAR,two_nnif,GCNConv,0.75,0.47574924056110773,0.008067617
cora,SAR,nnpu,MLP,0.75,0.6514359380035745,0.006653138
cora,SAR,nnpu,GATConv,0.75,0.8339578370224942,0.014255832807654266
cora,SAR,nnpu,GCNConv,0.75,0.8337385153771207,0.016619475274126876
cora,SAR,imbnnpu,MLP,0.75,0.5831184843379965,0.022979541152147072
cora,SAR,imbnnpu,GATConv,0.75,0.8207655498819189,0.008345633
cora,SAR,imbnnpu,GCNConv,0.75,0.8374342893068736,0.016998336
cora,SAR,ours,GCNConv,0.75,0.5894930041429864,0.012677878629684225
cora,SAR,NNIF,MLP,1,0.40978766785218396,0.073248023
cora,SAR,two_nnif,MLP,1,0.29312277624309413,0.024335315789423828
cora,SAR,two_nnif,GATConv,1,0.5397908735936553,0.054952645231531566
cora,SAR,two_nnif,GCNConv,1,0.5458617568134375,0.004571059
cora,SAR,nnpu,MLP,1,0.6702043894378459,0.003200663
cora,SAR,nnpu,GATConv,1,0.7820920501485137,0.001239879
cora,SAR,nnpu,GCNConv,1,0.8150650278499697,0.015105914283600067
cora,SAR,imbnnpu,MLP,1,0.5831184843379965,0.022979541152147072
cora,SAR,imbnnpu,GATConv,1,0.8212847642442572,0.007679106
