dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1
citeseer,SCAR,imbnnpu,GATConv,0.4,0.6527682198698743,0.014736823
citeseer,SCAR,imbnnpu,GCNConv,0.4,0.6882579919018726,0.017775192042885968
citeseer,SCAR,imbnnpu,MLP,0.3,0.26132937310421617,0.023998707586440442
citeseer,SCAR,imbnnpu,GATConv,0.3,0.5872784678142738,0.001781291
citeseer,SCAR,imbnnpu,GCNConv,0.3,0.6670566634173746,0.013709419999986656
citeseer,SCAR,imbnnpu,MLP,0.2,0.11821341325974255,0.017993599027210296
citeseer,SCAR,imbnnpu,GATConv,0.2,0.4250546610760413,0.038536329731160106
citeseer,SCAR,imbnnpu,GCNConv,0.2,0.5352474436458683,0.023133264121316888
citeseer,SAR,naive,MLP,0.4,0.024951782,0.011581913
citeseer,SAR,naive,GATConv,0.4,0.20412537292959776,0.016491336
citeseer,SAR,naive,GCNConv,0.4,0.083511657,0.059066972
citeseer,SAR,naive,MLP,0.3,0.008097166,0.005725561
citeseer,SAR,naive,GATConv,0.3,0.087969967,0.03484777
citeseer,SAR,naive,GCNConv,0.3,0.004048583,0.005725561
citeseer,SAR,naive,MLP,0.2,0.00118624,0.001677596
citeseer,SAR,naive,GATConv,0.2,0.035667917,0.026196609816960266
citeseer,SAR,naive,GCNConv,0.2,0,0
citeseer,SAR,spy,MLP,0.4,0.5112910655582821,0.025139426986624795
citeseer,SAR,spy,GATConv,0.4,0.5875822343584121,0.021066371094977186
citeseer,SAR,spy,GCNConv,0.4,0.590468561,0.037036171006738235
citeseer,SAR,spy,MLP,0.3,0.5175252652987808,0.046009862833031906
citeseer,SAR,spy,GATConv,0.3,0.5844278758431888,0.014312441454447208
citeseer,SAR,spy,GCNConv,0.3,0.5765678048286743,0.015351897784832215
citeseer,SAR,spy,MLP,0.2,0.4230740125885168,0.043596163
citeseer,SAR,spy,GATConv,0.2,0.5337448369543751,0.029412045640476146
citeseer,SAR,spy,GCNConv,0.2,0.49227377177080694,0.034837291269597004
citeseer,SAR,nnpu,MLP,0.4,0.6796357337105233,0.022276672946031754
citeseer,SAR,nnpu,GATConv,0.4,0.724697356,0.016920249543800257
citeseer,SAR,nnpu,GCNConv,0.4,0.7255672350976218,0.008189005
citeseer,SAR,nnpu,MLP,0.3,0.6786045245256891,0.01637586
citeseer,SAR,nnpu,GATConv,0.3,0.7303401078132169,0.018543241793176728
citeseer,SAR,nnpu,GCNConv,0.3,0.7367437774951554,0.010705411
citeseer,SAR,nnpu,MLP,0.2,0.6106880580124309,0.033424763
citeseer,SAR,nnpu,GATConv,0.2,0.7180020865419173,0.022423249640430402
citeseer,SAR,nnpu,GCNConv,0.2,0.7261876315639756,0.015817490341845087
citeseer,SAR,imbnnpu,MLP,0.4,0.40049895560855736,0.018230602511747098
citeseer,SAR,imbnnpu,GATConv,0.4,0.6686615675651063,0.020020956876648118
citeseer,SAR,imbnnpu,GCNConv,0.4,0.6926315586380737,0.015403742
citeseer,SAR,imbnnpu,MLP,0.3,0.29544964497563386,0.034308866
citeseer,SAR,imbnnpu,GATConv,0.3,0.6186221783301367,0.007359024
citeseer,SAR,imbnnpu,GCNConv,0.3,0.6706347259676869,0.015330794459386201
citeseer,SAR,imbnnpu,MLP,0.2,0.15418380587752456,0.024421419
citeseer,SAR,imbnnpu,GATConv,0.2,0.5006943635540025,0.016218795070006575
citeseer,SAR,imbnnpu,GCNConv,0.2,0.575810795,0.022996569236146902
cora,SCAR,naive,MLP,0.4,0.014785241597904869,0.006786635
cora,SCAR,naive,GATConv,0.4,0.23112922455790993,0.011691074381599241
cora,SCAR,naive,GCNConv,0.4,0.11988178291091646,0.10552926465515527
cora,SCAR,naive,MLP,0.3,0.021791921908461576,0.010583606182905877
cora,SCAR,naive,GATConv,0.3,0.10876686363936361,0.038823263
cora,SCAR,naive,GCNConv,0.3,0.052775094,0.069774071
cora,SCAR,naive,MLP,0.2,0.001017812,0.001439403
cora,SCAR,naive,GATConv,0.2,0.035257686,0.037742508
cora,SCAR,naive,GCNConv,0.2,0.001017812,0.001439403
cora,SCAR,spy,MLP,0.4,0.525368488,0.010541821570829512
cora,SCAR,spy,GATConv,0.4,0.670711039,0.025144841906418823
cora,SCAR,spy,GCNConv,0.4,0.710272115,0.009753274
cora,SCAR,spy,MLP,0.3,0.5198328434650135,0.006611291
cora,SCAR,spy,GATConv,0.3,0.6397767035937502,0.014388004879457341
cora,SCAR,spy,GCNConv,0.3,0.663261124,0.031480522926378075
cora,SCAR,spy,MLP,0.2,0.4625122909529051,0.037559386
cora,SCAR,spy,GATConv,0.2,0.5818810245359564,0.016621887
cora,SCAR,spy,GCNConv,0.2,0.6271137627537343,0.030061778
cora,SCAR,nnpu,MLP,0.4,0.6705832641632311,0.014364849466494899
cora,SCAR,nnpu,GATConv,0.4,0.7803757971659375,0.026366455
cora,SCAR,nnpu,GCNConv,0.4,0.8316065516002468,0.015895212312739763
cora,SCAR,nnpu,MLP,0.3,0.653100323,0.020342361397887213
cora,SCAR,nnpu,GATConv,0.3,0.7915338043472447,0.034669691
cora,SCAR,nnpu,GCNConv,0.3,0.8459864155207929,0.022716221093670073
cora,SCAR,nnpu,MLP,0.2,0.6244012942582223,0.017309043
cora,SCAR,nnpu,GATConv,0.2,0.7767258310737103,0.017819399274384765
cora,SCAR,nnpu,GCNConv,0.2,0.8406838572680005,0.015119106824904398
cora,SCAR,imbnnpu,MLP,0.4,0.5197153353738644,0.031962929158386326
cora,SCAR,imbnnpu,GATConv,0.4,0.7620167461567577,0.017104940574687144
cora,SCAR,imbnnpu,GCNConv,0.4,0.829897265,0.019205398
cora,SCAR,imbnnpu,MLP,0.3,0.4390592215098375,0.018984504488493873
cora,SCAR,imbnnpu,GATConv,0.3,0.7305170596509809,0.016394882757011526
cora,SCAR,imbnnpu,GCNConv,0.3,0.8140014428339186,0.030438842696870094
cora,SCAR,imbnnpu,MLP,0.2,0.3171661258643958,0.016171574665491132
cora,SCAR,imbnnpu,GATConv,0.2,0.619677827,0.021754462647876043
cora,SCAR,imbnnpu,GCNConv,0.2,0.7565234937536903,0.013715677486885142
cora,SAR,naive,MLP,0.4,0.051264719,0.050740436319127856
cora,SAR,naive,GATConv,0.4,0.1930204297616578,0.044795005
cora,SAR,naive,GCNConv,0.4,0.11811913661796795,0.092014239
cora,SAR,naive,MLP,0.3,0,0
cora,SAR,naive,GATConv,0.3,0.031766117,0.023893848502697414
cora,SAR,naive,GCNConv,0.3,0,0
cora,SAR,naive,MLP,0.2,0,0
cora,SAR,naive,GATConv,0.2,0.002035623,0.001439403
cora,SAR,naive,GCNConv,0.2,0,0
cora,SAR,spy,MLP,0.4,0.5200804880969246,0.022259688317768356
cora,SAR,spy,GATConv,0.4,0.7020387311787507,0.01239752
cora,SAR,spy,GCNConv,0.4,0.7294533396473231,0.014651130982353978
cora,SAR,spy,MLP,0.3,0.5068072573244595,0.006444352
cora,SAR,spy,GATConv,0.3,0.625913321,0.01625309
cora,SAR,spy,GCNConv,0.3,0.6658052708410409,0.013943960852479256
cora,SAR,spy,MLP,0.2,0.4374032470686267,0.007246726
cora,SAR,spy,GATConv,0.2,0.5856187548410987,0.037582846
cora,SAR,spy,GCNConv,0.2,0.5790865246954262,0.014511285561866866
cora,SAR,nnpu,MLP,0.4,0.6703430199920172,0.011427188743598287
cora,SAR,nnpu,GATConv,0.4,0.816244117,0.012729250235714936
cora,SAR,nnpu,GCNConv,0.4,0.8373289789899089,0.010750377
cora,SAR,nnpu,MLP,0.3,0.6613315370076092,0.008965254
cora,SAR,nnpu,GATConv,0.3,0.8205539539317473,0.015160272031347451
cora,SAR,nnpu,GCNConv,0.3,0.8462488715142961,0.014566460605889595
cora,SAR,nnpu,MLP,0.2,0.6509513782392492,0.018858093150399553
cora,SAR,nnpu,GATConv,0.2,0.8110197381016583,0.015031893918700091
cora,SAR,nnpu,GCNConv,0.2,0.8327731422646155,0.013118993
cora,SAR,imbnnpu,MLP,0.4,0.5306398189811051,0.025004183959084155
cora,SAR,imbnnpu,GATConv,0.4,0.8084922160141955,0.009683952
cora,SAR,imbnnpu,GCNConv,0.4,0.8439095496884558,0.015188730190679844
cora,SAR,imbnnpu,MLP,0.3,0.43653458004152385,0.026311482705686347
cora,SAR,imbnnpu,GATConv,0.3,0.7558732560226286,0.030294951406863693
cora,SAR,imbnnpu,GCNConv,0.3,0.816127268,0.016375287447973595
cora,SAR,imbnnpu,MLP,0.2,0.3375406786063267,0.021804158324647358
cora,SAR,imbnnpu,GATConv,0.2,0.6488409264716574,0.029625608
cora,SAR,imbnnpu,GCNConv,0.2,0.7668440740586903,0.016608042
pubmed,SCAR,naive,MLP,0.4,0.17669525451909882,0.014563815034171338
pubmed,SCAR,naive,GATConv,0.4,0.15335803264067818,0.023014854
pubmed,SCAR,naive,GCNConv,0.4,0,0
pubmed,SCAR,naive,MLP,0.3,0.040016147,0.029585077549113572
pubmed,SCAR,naive,GATConv,0.3,0.034924076,0.020040993317071466
pubmed,SCAR,naive,GCNConv,0.3,0,0
pubmed,SCAR,naive,MLP,0.2,0.00576792,0.008157071
pubmed,SCAR,naive,GATConv,0.2,0.005589821,0.002252737
pubmed,SCAR,naive,GCNConv,0.2,0,0
pubmed,SCAR,spy,MLP,0.4,0.7386477414595148,0.010184994366460694
pubmed,SCAR,spy,GATConv,0.4,0.7907927253852757,0.003142476
pubmed,SCAR,spy,GCNConv,0.4,0.7947612483299119,0.004868468
pubmed,SCAR,spy,MLP,0.3,0.7616495607633368,0.005177043
pubmed,SCAR,spy,GATConv,0.3,0.7999124097211076,0.00559283
pubmed,SCAR,spy,GCNConv,0.3,0.8047702761371572,0.00522164
pubmed,SCAR,spy,MLP,0.2,0.7557098212485864,0.00533211
pubmed,SCAR,spy,GATConv,0.2,0.7895545428537272,0.004334147
pubmed,SCAR,spy,GCNConv,0.2,0.794632169,0.004124966
pubmed,SCAR,nnpu,MLP,0.4,0.5746137002935313,0.036632992
pubmed,SCAR,nnpu,GATConv,0.4,0.6393123760875817,0.020978621782935435
pubmed,SCAR,nnpu,GCNConv,0.4,0.6406458404196194,0.030770788737239325
pubmed,SCAR,nnpu,MLP,0.3,0.5574047887430477,0.034799543
pubmed,SCAR,nnpu,GATConv,0.3,0.6350456353500517,0.021033677864690084
pubmed,SCAR,nnpu,GCNConv,0.3,0.6321284690546906,0.027444924205164947
pubmed,SCAR,nnpu,MLP,0.2,0.5474352540246517,0.048210512
pubmed,SCAR,nnpu,GATConv,0.2,0.6328490303501569,0.026778373446212155
pubmed,SCAR,nnpu,GCNConv,0.2,0.6251290417121176,0.027892810341843564
pubmed,SCAR,imbnnpu,MLP,0.4,0.6886453603388333,0.002803031
pubmed,SCAR,imbnnpu,GATConv,0.4,0.723788534,0.004670973
pubmed,SCAR,imbnnpu,GCNConv,0.4,0.7310128836019673,0.00577355
pubmed,SCAR,imbnnpu,MLP,0.3,0.7064348856431172,0.002089876
pubmed,SCAR,imbnnpu,GATConv,0.3,0.7359239651453321,0.00228656
pubmed,SCAR,imbnnpu,GCNConv,0.3,0.7486700165307226,0.00477268
pubmed,SCAR,imbnnpu,MLP,0.2,0.7182652208418824,0.009413033
